gene_id,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0234404,2,0,0,0,2,14,2,2,2,0,0,1
FBgn0236319,28,25,9,9,8,27,53,26,5,14,7,8
FBgn0236318,785,657,618,677,582,3065,769,748,833,894,617,583
FBgn0236315,792,721,740,1092,824,4287,811,740,1022,1122,816,735
FBgn0236314,3273,2510,2653,3093,2638,14001,3630,3335,3535,3164,2939,2402
FBgn0236317,1004,905,889,1049,876,4279,954,1037,1072,977,907,841
FBgn0236316,2694,2067,2043,2531,1992,10307,2712,2436,2796,2708,2122,1966
FBgn0236311,967,1091,904,1197,1144,5986,996,1132,1335,985,1171,1089
FBgn0236310,12306,9625,10009,11617,8110,44954,12669,12246,12841,14315,9758,8642
FBgn0236313,4689,4125,3847,4143,3590,19662,4957,4911,5014,4887,3827,3494
FBgn0231472,83,35,57,21,12,98,45,10,28,23,10,25
FBgn0231479,0,0,0,0,0,0,2,0,4,0,0,0
FBgn0231478,1008,37,65,73,32,220,330,41,133,174,44,34
FBgn0230876,60211,57404,50858,53814,52759,266090,62369,66060,76666,55434,56576,51287
FBgn0230877,76,65,42,70,83,287,44,66,66,97,53,64
FBgn0230874,1091,1161,1046,1248,1242,6140,1188,608,1328,1145,1169,1185
FBgn0230872,241,244,197,165,167,1006,272,243,225,130,126,129
FBgn0230873,2,0,0,6,1,8,2,2,0,7,3,0
FBgn0230870,32,46,21,26,22,144,34,44,53,18,35,23
FBgn0230871,2,0,13,5,12,84,8,16,4,20,15,5
FBgn0230878,0,3,1,17,5,44,2,2,6,16,10,18
FBgn0230879,29,20,23,24,22,101,48,37,29,27,19,28
FBgn0233340,4037,3510,3094,3214,3114,16155,3740,3887,4304,3500,3076,2840
FBgn0231474,0,0,0,5,6,16,0,0,2,0,5,3
FBgn0231477,0,0,0,0,0,0,0,0,2,0,0,0
FBgn0231476,7,0,0,0,6,3,24,0,0,5,4,0
FBgn0239171,2,0,3,16,2,8,0,1,0,4,3,3
FBgn0231473,47,31,19,25,16,125,43,22,39,27,14,9
FBgn0230214,888,761,615,872,758,4208,778,823,813,941,776,713
FBgn0236312,172,148,139,152,133,713,206,215,217,168,133,117
FBgn0240599,31,20,20,5,10,14,28,19,22,10,5,8
FBgn0240596,24,13,17,26,23,152,27,20,50,29,60,20
FBgn0240597,15553,17183,16707,20488,15741,82099,25271,15734,22948,26962,19611,17107
FBgn0240594,41,19,11,119,77,276,27,23,19,50,45,65
FBgn0240595,1552,1453,1350,1497,1282,7014,1676,1566,1723,1735,1506,1361
FBgn0240592,1950,1155,1628,1267,1062,6565,757,772,991,736,601,644
FBgn0240593,0,6,0,0,0,2,8,0,3,0,4,0
FBgn0240590,2,3,9,0,0,0,5,24,8,0,0,0
FBgn0240591,389,449,332,297,303,1310,443,531,589,285,271,280
FBgn0276918,7,7,2,2,2,18,7,1,0,2,3,4
FBgn0242999,8191,13951,9089,15788,16522,92621,12238,14172,17710,10133,15098,16938
FBgn0242252,0,0,0,0,0,0,4,0,0,1,0,0
FBgn0242994,414,306,315,1343,1003,5371,396,372,409,1652,1157,964
FBgn0242995,2,2,2,2,2,2,2,2,2,2,2,2
FBgn0242996,8204,7324,6066,6843,6178,33731,8091,8535,9073,7660,6470,5993
FBgn0242997,3241,2871,2323,3134,2826,15311,3129,3531,3751,3477,3091,2737
FBgn0242990,24108,26453,22540,34236,31871,152294,27788,31495,35895,29093,27730,25105
FBgn0242991,18,26,29,18,23,105,32,9,21,20,24,6
FBgn0242992,187,112,70,77,60,227,94,48,71,55,65,58
FBgn0242993,30,28,13,61,27,119,33,32,32,49,38,23
FBgn0234226,15,27,11,27,22,84,2,20,4,17,7,6
FBgn0239306,458,554,462,881,572,3166,427,518,520,639,495,482
FBgn0277320,2,2,0,0,0,14,0,4,5,5,0,0
FBgn0230252,24,20,20,15,12,105,20,35,28,10,11,18
FBgn0230253,1352,1176,1027,1258,1155,6090,1138,1375,1438,1237,1050,1065
FBgn0230250,0,0,2,0,0,0,0,0,4,0,0,0
FBgn0230256,2605,2042,2000,2662,2341,11642,2696,2556,2827,3184,2611,2136
FBgn0230257,3836,2933,2919,3123,2878,13093,3442,3318,3973,3528,2771,2612
FBgn0230255,1567,1322,1241,1789,1811,8993,1516,1448,1671,1538,1614,1577
FBgn0234414,2618,2178,2158,2363,1779,10232,2593,2508,2581,2788,2078,1977
FBgn0230258,0,0,0,9,0,6,4,0,2,0,5,0
FBgn0230259,3728,3277,3037,4315,3755,20936,4087,4156,4702,5335,4212,4006
FBgn0238407,0,10,6,4,0,16,0,4,0,2,4,0
FBgn0238406,3,0,0,0,0,0,0,2,0,0,0,0
FBgn0238405,34,15,5,19,3,35,19,19,11,11,23,8
FBgn0238404,5,82,2,8,5,16,18,0,2,16,3,2
FBgn0238403,14,44,6,3,3,32,51,2,7,16,5,0
FBgn0238402,9,2,0,10,4,16,5,2,1,11,1,3
FBgn0238401,743,535,489,568,525,3088,695,660,739,658,539,515
FBgn0238905,0,5,0,0,1,5,3,0,7,0,0,0
FBgn0238409,4354,3788,3308,3687,3175,17213,4138,4003,4616,4209,3488,3291
FBgn0238408,4,3,10,0,4,19,12,0,8,2,3,0
FBgn0229728,16,10,0,9,4,25,13,3,11,9,11,5
FBgn0232069,0,0,0,0,2,8,4,0,3,0,0,0
FBgn0234601,2,0,0,0,0,2,0,0,0,0,0,0
FBgn0231879,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0240313,0,1,0,0,0,1,0,0,0,1,0,0
FBgn0238241,8580,7194,6501,9769,8549,47609,9013,9130,9513,11009,9093,8929
FBgn0231405,2788,2221,2074,2166,1875,9041,2881,2572,2829,2576,1927,1713
FBgn0242338,8561,8189,7528,8693,8477,44941,8990,9675,10546,8105,8654,8433
FBgn0242339,600,411,378,341,412,1361,386,321,406,346,313,275
FBgn0275626,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0275627,2932,869,319,1727,290,6497,7705,1232,70,4755,524,1120
FBgn0235758,2523,2368,2000,2032,1726,8584,2515,2512,2839,2124,1700,1649
FBgn0275621,1690,1788,1465,2282,1814,11299,1861,2019,2212,1817,2196,2102
FBgn0235208,0,0,0,7,8,26,4,0,4,4,0,5
FBgn0235209,9138,7254,7665,10086,8410,42131,10056,10054,10780,9071,8117,7439
FBgn0242330,1675,1826,1616,1720,1653,8244,1581,1888,2070,1319,1546,1442
FBgn0235207,4632,3820,3565,4025,3786,19870,5138,5402,5796,4253,4350,3952
FBgn0235756,3921,3336,3160,2891,2641,13937,4073,4006,4336,3174,2743,2370
FBgn0242333,9676,8988,7965,11415,11190,62305,10360,10817,11630,10585,11441,11762
FBgn0235202,5245,4193,3841,4239,3294,21008,5082,4798,5357,4336,3650,3125
FBgn0242335,0,0,0,0,0,0,0,0,4,0,0,0
FBgn0242336,607,409,370,566,438,2602,583,518,568,600,458,388
FBgn0242337,192,135,163,190,129,819,149,152,153,204,188,138
FBgn0241973,6951,6436,5375,6654,6605,37608,6978,7286,8542,6957,7369,7310
FBgn0241972,3055,2872,2354,2987,2869,15539,3160,3411,3882,2979,3151,3048
FBgn0241971,679,528,562,650,451,2551,656,587,736,833,533,562
FBgn0241970,286,340,256,322,389,1809,370,425,413,335,356,308
FBgn0241977,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0241976,0,0,0,0,6,9,0,0,0,0,0,0
FBgn0241975,39,23,38,27,50,185,30,31,47,47,35,28
FBgn0241974,1912,1558,1543,1724,1383,7928,1926,1794,2165,2187,1735,1386
FBgn0241979,61,96,124,86,126,713,48,97,94,35,97,12
FBgn0241978,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0231873,46,46,11,17,11,84,67,26,49,4,7,25
FBgn0084625,2231,1587,1816,1536,1258,6267,2555,2297,2549,1911,1424,1130
FBgn0231875,122,82,78,49,33,189,93,92,101,40,34,24
FBgn0231874,84,113,91,33,142,596,60,85,99,46,512,51
FBgn0233756,2,4,6,6,8,19,4,14,0,4,0,3
FBgn0238077,2381,2103,1936,1556,1766,8606,2597,2530,3132,1703,1801,1708
FBgn0238074,0,0,0,10,0,0,0,0,0,11,0,0
FBgn0238075,0,4,0,0,0,0,0,0,0,0,0,0
FBgn0238072,256,232,290,301,303,2210,248,257,349,331,326,283
FBgn0238073,2,3,4,8,0,59,0,12,3,20,6,8
FBgn0233750,3613,3458,2745,4295,4240,22561,3053,3375,3764,3090,3444,3678
FBgn0233751,8782,11735,9392,15146,14128,72912,10252,12160,14064,10883,12466,12426
FBgn0231876,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0234225,66,49,29,38,43,229,38,49,25,36,33,44
FBgn0238078,0,2,0,0,0,0,0,0,0,0,0,0
FBgn0238079,7565,6686,6626,8388,6682,37328,7175,7932,9156,7866,7568,6471
FBgn0242055,1188,1113,1199,1326,955,5621,1195,1017,1035,1268,1081,1036
FBgn0242054,1494,1274,1134,1424,1050,6123,1415,1416,1562,1607,1236,968
FBgn0242057,298,244,292,291,277,1460,327,280,337,338,282,227
FBgn0242051,5,6,0,13,0,27,9,9,8,20,6,6
FBgn0242050,45,9,5,18,0,69,69,25,45,57,15,22
FBgn0242053,16531,15258,13068,17258,14967,78705,16657,17134,19265,17752,15483,14263
FBgn0229095,3175,2329,2467,3025,2249,12822,3335,3142,3241,4063,2772,2281
FBgn0242223,575,645,349,325,387,1441,286,229,370,534,388,469
FBgn0242058,999,814,763,825,716,4009,1043,1034,1092,979,815,634
FBgn0242160,3,2,0,4,7,7,0,2,8,7,13,2
FBgn0238889,108,37,50,120,39,339,268,151,93,94,83,35
FBgn0231411,3443,3297,3084,4661,4264,22169,4159,4291,4901,3975,4520,4467
FBgn0258662,1,0,2,0,0,4,2,0,0,0,1,0
FBgn0068075,41092,33364,32849,39976,31161,163307,42979,38198,41376,45882,33025,30064
FBgn0068074,19615,14841,15689,24427,17066,90916,20516,17907,18821,29252,19195,16615
FBgn0068077,18552,14277,14064,18112,14174,68262,19981,18260,18775,23358,15366,13443
FBgn0068076,30819,23834,24418,33308,22989,125771,34024,29662,31970,39627,26695,22818
FBgn0068071,36228,27094,29324,36448,25343,136152,40996,34197,37234,47100,29686,25405
FBgn0068070,21741,15813,17160,21203,15205,80852,22873,20329,21076,25582,15795,13888
FBgn0068073,12592,8816,10112,11967,8943,47668,12428,11761,12050,14377,8787,7738
FBgn0068072,8551,6267,6963,10035,7264,37547,8741,7998,8444,12214,7675,6525
FBgn0068079,58816,45071,46376,61853,40353,242683,63244,56043,59807,79807,51817,44338
FBgn0068078,30514,21962,23126,32780,22248,130356,32704,28695,30451,41276,26209,22412
FBgn0242585,4377,3813,3445,4766,3978,20789,4542,4578,4671,4755,4288,3980
FBgn0229544,365,318,319,399,310,1650,426,352,398,493,314,338
FBgn0229545,9756,8792,8732,8716,8354,41526,9580,10487,12112,8354,9349,7715
FBgn0229546,996,804,758,847,796,3845,755,846,986,835,882,829
FBgn0229547,33,18,13,32,27,119,74,102,14,50,16,22
FBgn0229540,391,313,319,319,302,1628,402,468,440,353,335,271
FBgn0229541,2258,1887,1772,1163,1158,5544,1891,1800,1836,1342,1159,970
FBgn0229542,9347,10616,8560,8941,9028,48167,10035,11354,13231,6992,9562,10302
FBgn0229543,4565,4607,3816,3351,3626,17390,4385,5476,5721,3314,3794,3734
FBgn0232684,461,405,361,353,269,1537,514,337,443,432,241,267
FBgn0229548,2666,2347,2257,2794,2296,12309,2577,2881,3101,2404,2279,2247
FBgn0233633,10,26,15,21,12,49,20,33,44,23,16,14
FBgn0084564,1375,1252,999,1121,1102,5885,1305,1346,1540,1182,1080,1103
FBgn0234403,338,293,358,409,343,1698,309,407,399,411,378,292
FBgn0228155,3,2,0,0,0,0,4,0,0,0,0,0
FBgn0234401,0,0,0,0,0,2,0,0,0,0,0,0
FBgn0234400,690,807,597,1041,1101,5542,828,859,959,989,1107,1100
FBgn0228150,2667,3311,2809,3681,3835,20893,3238,3957,4794,2748,4148,4335
FBgn0234406,4,4,5,2,4,19,0,6,6,2,0,0
FBgn0228152,6696,6458,5477,5727,5644,26994,6255,7347,7698,5708,5925,5167
FBgn0228153,0,0,0,0,0,3,0,0,2,0,0,0
FBgn0234155,228,233,198,188,145,894,451,484,528,262,248,264
FBgn0234154,97,101,73,53,63,300,205,194,176,98,77,82
FBgn0234157,3138,2576,2566,2962,3128,15728,2921,3143,3534,3335,3182,3095
FBgn0234408,204,172,180,129,167,716,158,122,192,106,113,94
FBgn0234151,0,0,2,6,0,9,5,0,2,1,4,2
FBgn0228159,8121,7241,6965,9029,7942,39799,7966,8556,9588,8767,7868,6930
FBgn0234153,373,300,304,416,350,1951,569,562,583,767,587,437
FBgn0234152,0,2,4,0,0,3,1,4,0,0,0,0
FBgn0228887,0,2,0,0,0,3,2,2,6,0,0,0
FBgn0238157,15357,15129,12046,13455,13185,70287,14338,15541,17143,11596,12471,11750
FBgn0235821,608,524,506,770,524,2531,751,535,651,700,560,514
FBgn0231403,465,303,316,258,177,1079,412,426,445,335,235,219
FBgn0229401,0,0,0,0,0,8,6,0,2,0,0,6
FBgn0229400,0,0,0,0,0,0,4,0,9,2,0,0
FBgn0229403,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0229402,2,0,0,74,20,8,0,2,3,53,127,0
FBgn0229405,0,0,3,0,0,0,0,0,0,0,0,0
FBgn0229404,4,0,0,0,0,4,0,0,0,2,0,0
FBgn0229407,16,4,10,0,2,0,0,5,10,4,2,3
FBgn0229406,11,2,0,0,2,0,0,5,0,0,0,0
FBgn0229409,883,726,660,546,463,2273,831,768,877,630,573,396
FBgn0229408,0,0,0,0,0,3,0,0,0,0,0,0
FBgn0233261,100,61,59,78,50,306,128,84,97,76,48,45
FBgn0236335,0,0,0,4,0,2,0,3,0,0,8,0
FBgn0232807,1935,1634,1479,1483,1238,6800,1782,1881,1888,1709,1459,1259
FBgn0232800,3827,3780,3368,4215,3595,20061,3615,3998,4759,3847,3554,3476
FBgn0232803,1520,1235,1148,1628,1564,7716,1527,1762,1713,1689,1521,1266
FBgn0232802,126,25,16,99,16,114,83,11,18,98,34,18
FBgn0234224,5453,4295,4086,4761,3816,21085,6034,5689,6344,6342,4949,4404
FBgn0068221,20280,15014,15805,18773,12735,71279,21600,18015,20212,23354,15420,12877
FBgn0238888,2610,2370,2000,2780,2404,12901,2084,2768,2851,2052,2119,2147
FBgn0231410,6595,5441,5080,4905,4130,21371,7034,6888,7507,5896,4708,4244
FBgn0258669,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0240208,205,112,131,143,115,587,178,158,218,163,119,105
FBgn0240209,1,0,0,0,0,0,0,0,0,0,0,2
FBgn0240206,139,127,108,146,135,646,159,144,192,130,102,89
FBgn0240207,1153,968,841,646,576,4006,1105,1031,1295,542,500,481
FBgn0240204,4,5,0,10,14,35,0,10,10,6,7,8
FBgn0240205,0,8,10,7,3,6,15,0,2,18,4,5
FBgn0240202,990,918,809,1007,905,5217,816,1135,1204,722,882,816
FBgn0240203,9,8,3,4,4,29,7,9,11,4,5,0
FBgn0240200,853,793,841,1285,1026,5931,793,1087,873,1367,1202,1037
FBgn0240201,113,66,65,82,51,486,99,112,109,115,83,77
FBgn0235026,347,252,211,236,260,1307,408,382,411,312,235,268
FBgn0243018,92,94,46,60,46,109,31,38,64,46,27,61
FBgn0243019,5600,4237,4283,5124,4409,24442,5803,5327,6283,6190,4961,4372
FBgn0243016,874,662,615,861,586,3194,889,787,843,934,701,638
FBgn0243017,10145,8659,8180,7095,6693,41244,8815,9203,10719,5587,6488,6031
FBgn0243014,1690,1251,1141,1203,1195,5910,2709,1839,1837,1269,1383,1322
FBgn0243015,1510,1576,1305,867,783,4512,1500,1562,1728,876,856,701
FBgn0243012,5405,4687,4177,4929,4610,24552,4488,5558,5761,5078,4783,4495
FBgn0235024,0,0,0,5,0,4,0,0,0,0,0,0
FBgn0243010,1807,1509,1377,1585,1494,7912,1597,1568,1890,2013,1517,1533
FBgn0243011,4470,3888,3665,4074,3529,18454,4619,4565,5182,4335,3893,3620
FBgn0258668,0,2,0,1,0,2,1,2,0,2,0,0
FBgn0238123,2538,1249,1048,3030,2033,12341,2784,4065,1597,3252,4155,2035
FBgn0068389,16551,12432,13175,16112,12859,68227,20322,18237,19223,23504,15521,12863
FBgn0068388,924,1310,1489,1714,1091,7112,1962,1871,1022,2414,1588,1308
FBgn0068387,122,77,66,54,46,222,90,65,108,77,63,58
FBgn0068386,3055,2611,2501,2715,2171,11513,2744,3063,3390,2877,2209,2114
FBgn0068385,750,580,547,678,515,2767,785,766,788,901,605,517
FBgn0068384,3845,3025,3105,2838,2535,13016,4078,3727,4036,3568,2700,2417
FBgn0068383,111105,91746,90619,114721,96063,489209,133536,125658,135338,143971,110501,92182
FBgn0068382,7661,9344,8742,10726,9469,47186,8336,9837,11783,9505,8983,8033
FBgn0068381,3,2,0,5,15,15,13,4,4,11,4,12
FBgn0068380,2514,2561,2250,3287,2654,13024,2479,3046,3582,2549,2785,2462
FBgn0235020,3096,2589,2526,3275,2987,16019,3199,3291,3642,3681,3297,3141
FBgn0235021,860,761,668,1025,930,5644,879,845,986,1196,976,1040
FBgn0239693,476,423,464,946,827,4411,465,594,514,971,904,726
FBgn0238124,1203,734,421,905,629,2419,1514,1901,802,1048,1587,746
FBgn0234667,156,70,53,105,24,229,234,79,28,264,43,49
FBgn0258339,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0236128,7,6,2,6,7,32,4,4,7,2,6,4
FBgn0236129,191,182,166,362,251,1312,255,233,278,390,307,245
FBgn0236122,237,200,216,213,170,949,251,231,243,248,190,138
FBgn0236123,4636,4152,3362,4956,4425,25701,5728,5245,6047,4944,5017,5350
FBgn0236120,0,2,2,0,4,9,16,0,3,2,0,0
FBgn0236121,14752,15876,13051,15438,15309,81358,15056,17572,20104,13214,14931,14674
FBgn0236126,90,107,101,101,80,572,113,103,111,50,94,76
FBgn0236127,3982,3495,3090,3508,3069,17076,4207,4078,4670,4154,3306,3180
FBgn0236124,233,133,132,130,134,672,222,213,265,190,154,134
FBgn0236125,24390,27513,21389,37125,35644,182255,27960,31130,38452,31034,32965,31699
FBgn0231046,41,25,31,7,18,55,31,26,39,2,6,11
FBgn0232668,69,77,50,83,122,690,87,140,100,130,83,94
FBgn0231409,7,4,10,3,8,30,0,9,5,8,8,3
FBgn0238678,2057,1686,1734,1987,1580,8408,2017,1932,2272,2129,1634,1631
FBgn0238679,22,13,0,10,18,88,16,14,4,24,25,11
FBgn0232661,5882,4503,4525,6239,4834,25270,7022,6559,7413,8940,6140,5116
FBgn0238675,12,260,0,350,6,71,414,0,36,7,8,10
FBgn0238676,16,5,4,0,0,8,6,2,2,0,0,0
FBgn0238677,473,395,466,355,486,1856,466,647,423,149,243,135
FBgn0238670,89106,74242,72949,96004,81785,435273,96552,95911,108344,109283,93291,81261
FBgn0238671,62,49,34,17,12,58,44,40,74,9,8,6
FBgn0238672,3140,2754,2833,2956,2890,14704,3576,3702,3544,2829,2876,2679
FBgn0232666,497,224,280,12758,11099,59523,808,539,441,10819,11625,10883
FBgn0234475,4782,4012,3514,4026,4014,22125,5287,5402,6195,4960,4900,4914
FBgn0241159,1101,994,889,1067,966,4820,1152,1215,1355,1156,998,846
FBgn0241158,238,226,189,233,128,799,187,204,238,256,214,193
FBgn0231868,7204,5741,5468,5429,5206,27985,6951,6177,7271,5672,5545,4737
FBgn0242605,633,524,542,625,517,2771,682,645,719,751,529,476
FBgn0231866,12,3,8,81,61,336,20,8,10,50,44,34
FBgn0241154,6851,6739,5374,6743,7379,38329,7189,7601,8217,5922,6955,7392
FBgn0231864,897,750,782,1107,742,4280,1017,1014,1114,1377,994,849
FBgn0231865,1086,949,817,1115,1000,5916,1232,1134,1288,1122,1190,1101
FBgn0241151,1196,1062,751,1045,994,5461,1330,1135,1208,1136,1056,1023
FBgn0231863,20205,18415,15628,18620,16526,94342,20428,21159,24384,15770,16442,16064
FBgn0241153,1877,1600,1352,1435,1136,5692,1716,1805,1862,1553,1191,1202
FBgn0241152,512,439,484,466,450,2275,578,574,583,594,486,464
FBgn0068369,562,534,518,595,527,2471,614,610,737,501,503,482
FBgn0234602,72247,62016,57988,75277,63262,319983,75437,73481,78627,87616,67462,61587
FBgn0275437,0,0,0,0,4,0,0,3,1,0,0,1
FBgn0275439,0,4,2,6,3,38,4,0,4,8,5,7
FBgn0275438,7,7,4,30,18,145,5,9,6,12,10,15
FBgn0242837,89,92,71,103,127,1016,94,112,109,57,135,119
FBgn0242836,144,170,179,244,230,1572,175,216,188,250,262,304
FBgn0242835,6270,7613,6713,7522,7619,40314,7647,8535,10285,6053,7761,7889
FBgn0242833,4,2,4,19,6,38,4,7,3,8,8,3
FBgn0242832,416,346,309,107,134,759,341,323,447,144,124,92
FBgn0242831,12,12,2,0,0,2,9,5,12,0,0,0
FBgn0242830,0,0,0,0,0,0,0,0,0,0,2,0
FBgn0239161,35,10,17,19,25,86,18,37,30,3,14,8
FBgn0241395,2677,2206,2402,2651,2306,12678,2040,2147,2832,2826,2719,2634
FBgn0242839,2,0,0,3,2,18,2,0,0,0,2,2
FBgn0242838,0,0,0,2,0,0,0,2,0,4,0,0
FBgn0228712,0,0,0,17,0,3,0,0,0,9,0,0
FBgn0228710,777,523,603,570,483,2579,792,866,828,677,576,495
FBgn0228711,0,0,0,12,0,0,0,0,0,21,0,0
FBgn0228716,1407,1395,1,1,1,2,1,1,1,1,1,1
FBgn0228717,0,2,0,0,0,4,0,0,0,0,0,0
FBgn0228714,13,27,16,8,13,30,20,15,30,14,9,4
FBgn0228715,3240,2791,2448,2538,2393,12775,2857,3084,3198,3025,2502,2193
FBgn0239673,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0239672,317,238,206,254,229,1244,316,312,253,315,221,205
FBgn0239671,429,354,342,478,375,1912,527,428,430,603,429,405
FBgn0228719,17,23,2,2,3,9,19,11,9,0,0,0
FBgn0239677,121,68,84,125,109,592,89,81,82,147,106,93
FBgn0239676,2305,2074,1875,2399,2105,11438,2506,2250,2593,2235,2314,2460
FBgn0239675,2339,1800,1786,2035,1627,8825,2680,2368,2607,2594,1944,1635
FBgn0239674,0,0,0,0,0,7,0,0,0,0,0,0
FBgn0230479,23746,18705,19366,32595,27301,137162,26991,26118,26629,42858,31537,26706
FBgn0230407,11464,10166,9165,12944,10111,57167,12005,11481,12681,15570,11813,10675
FBgn0230406,929,857,895,1128,1060,5319,1005,1133,1136,1258,1060,915
FBgn0230405,1955,1639,1537,1945,1582,7365,2166,2121,2290,2182,1803,1717
FBgn0230404,1620,1256,1141,1486,1320,6983,1752,1767,1941,2047,1504,1298
FBgn0230403,3645,3180,2933,3106,3054,15423,3698,3902,4161,3477,3290,3159
FBgn0230402,47,13,38,38,19,190,46,33,51,43,29,54
FBgn0230401,0,4,0,0,0,0,0,0,0,2,0,0
FBgn0230400,6,5,7,3,5,8,0,1,2,8,2,6
FBgn0231545,3035,2417,2320,2288,1979,10848,3131,3028,3574,2505,2058,2070
FBgn0231560,16,30,3,20,10,84,39,25,30,13,7,9
FBgn0258522,0,0,0,0,0,0,0,1,0,0,0,0
FBgn0238003,2744,2739,2368,2399,2227,12405,2838,3201,3372,2373,2342,2373
FBgn0258520,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0258521,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0241568,54,33,1,7,3,9,200,2,2,4,1,0
FBgn0241569,44,29,1,6,2,9,189,2,2,3,1,0
FBgn0258524,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0228438,4941,4460,3833,5287,4858,25236,5392,5425,5687,6189,5039,5105
FBgn0228437,304,276,268,427,298,1359,301,283,311,394,336,234
FBgn0241565,0,12,12,159,207,1097,0,6,6,178,187,218
FBgn0241566,2024,1713,1692,2231,1954,10951,2178,2022,2121,2997,2173,1960
FBgn0228434,14059,12870,11012,12949,11614,62753,14300,14953,16267,14171,12785,12322
FBgn0231314,22,26,19,9,1,28,11,14,17,2,3,5
FBgn0228432,10,6,12,12,13,24,9,117,39,15,10,2
FBgn0231316,1497,1019,1203,1439,1069,6056,1470,1391,1502,1865,1369,1098
FBgn0241563,1066,791,815,716,545,3196,1187,1055,1165,1017,696,505
FBgn0277288,0,0,0,2,0,4,0,0,0,0,0,2
FBgn0277289,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0083329,5731,5257,4800,5665,5204,26288,6223,6803,6916,6417,5355,5356
FBgn0068302,13898,10004,10298,12412,9256,48083,14703,12830,14005,13386,9482,8377
FBgn0277281,350,302,311,1685,1210,6088,335,337,382,1948,1319,1080
FBgn0277282,21,36,31,67,71,504,83,78,69,118,121,114
FBgn0083321,11,6,2,7,2,22,12,6,11,11,9,8
FBgn0277284,187,251,176,575,433,2424,210,287,329,508,513,512
FBgn0277285,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0277286,130,138,93,50,34,164,161,158,166,67,32,30
FBgn0277287,233,162,142,245,166,1056,225,238,182,276,178,204
FBgn0229391,4,0,0,0,5,16,8,0,6,0,0,6
FBgn0229390,0,0,0,0,0,4,0,0,0,0,0,0
FBgn0229393,2,0,0,0,0,0,0,0,0,0,0,0
FBgn0229392,0,4,0,0,4,0,2,4,0,5,4,1
FBgn0229395,0,0,0,0,0,0,0,3,0,0,0,0
FBgn0229397,6797,7089,6068,7678,7181,37563,7367,7761,9180,6579,7291,7404
FBgn0229399,3,0,0,4,0,14,6,3,4,5,0,0
FBgn0228381,827,525,653,699,548,3128,791,855,856,731,602,512
FBgn0228380,247,243,158,168,163,622,238,223,227,151,116,121
FBgn0239208,7856,4796,3910,4422,3954,19656,7167,7631,5928,3912,4971,4294
FBgn0239209,1970,1777,1690,1573,1477,7543,1949,1979,2085,1556,1425,1357
FBgn0228385,1484,1348,1119,1511,1236,6852,1527,1507,1645,1517,1441,1386
FBgn0228384,8928,7621,6522,7770,7259,38295,8985,9470,10462,7646,7662,6709
FBgn0228387,611,489,407,488,399,2019,644,592,614,549,418,420
FBgn0228386,30,33,25,28,24,138,34,4,18,36,20,36
FBgn0228389,341,220,194,242,203,1324,313,274,294,258,224,200
FBgn0239203,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0239200,16,4,22,25,29,160,21,27,14,48,37,42
FBgn0234361,1574,1587,1304,1343,1280,7029,1706,1703,2050,1394,1372,1224
FBgn0239206,4507,3700,3681,4078,3296,17631,4614,4632,5237,5022,3852,3216
FBgn0239207,1064,910,736,920,998,5001,926,1169,1229,947,1033,991
FBgn0239204,18,4,10,21,6,27,22,4,6,20,20,4
FBgn0239205,2297,2284,1703,1669,1713,8765,2169,2410,2601,1651,1704,1676
FBgn0276522,0,0,0,0,0,0,2,0,0,0,0,0
FBgn0276523,3,12,7,4,0,12,14,16,16,0,0,0
FBgn0276520,14,7,20,7,1,12,6,18,16,0,8,0
FBgn0276521,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0276526,0,0,0,0,4,5,0,0,0,3,0,0
FBgn0276527,2,5,2,2,2,11,1,1,4,7,4,5
FBgn0276524,9,19,14,8,2,46,2,13,15,8,6,8
FBgn0276525,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0276528,128,96,77,103,84,505,81,132,143,114,107,106
FBgn0276529,58,16,18,10,10,47,12,10,15,17,7,6
FBgn0277132,36,21,28,35,40,196,31,35,32,25,34,33
FBgn0277133,76,56,64,23,28,117,90,91,74,31,35,24
FBgn0277130,0,0,0,3,0,5,0,0,0,0,2,0
FBgn0277131,0,0,0,1,2,2,2,1,0,0,0,0
