gene_id,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0228931,66,57,61,112,91,564,78,74,152,134,201,110
FBgn0228936,10590,10430,9328,10699,11930,63208,10175,11938,13171,8020,11240,11233
FBgn0241082,647,562,597,1170,1071,6033,661,776,982,1678,1794,1298
FBgn0241081,8872,8492,6972,9932,9220,47627,9058,9439,10498,10085,9272,8899
FBgn0228935,4848,4062,3688,4075,3518,18625,4413,4496,5014,4216,3614,3489
FBgn0239453,6321,5720,4983,5884,5449,27249,6558,7053,7409,5782,5487,5029
FBgn0239452,500,374,371,459,383,2234,385,391,483,564,403,381
FBgn0239451,1938,1656,1362,1836,1521,9117,1938,1650,1844,2187,1728,1605
FBgn0239450,10,6,8,32,29,114,8,8,2,21,15,23
FBgn0239457,0,0,0,2,0,0,0,0,0,0,0,0
FBgn0239455,2085,1731,1484,1983,1664,8715,2458,2430,2408,2647,1779,1600
FBgn0240755,1523,1068,1111,1204,978,5373,1348,1162,1260,1495,1226,1052
FBgn0233820,5,4,0,2,4,25,4,2,6,2,0,0
FBgn0228972,4,6,2,4,6,20,5,4,1,3,4,3
FBgn0233822,126,115,108,108,104,584,96,96,144,101,75,119
FBgn0233823,2,0,0,2,6,50,8,6,6,4,8,6
FBgn0233824,7,13,3,5,4,13,5,8,4,1,1,3
FBgn0233825,2,0,0,0,0,23,0,0,1,2,2,4
FBgn0233826,3,4,0,8,4,21,4,1,6,6,0,0
FBgn0233827,0,0,0,6,0,2,0,0,1,0,5,0
FBgn0239419,245,214,159,329,307,1707,312,275,336,312,298,341
FBgn0239418,352,330,274,335,291,1560,310,318,434,339,301,262
FBgn0236257,550,383,363,493,413,1983,489,461,495,556,406,315
FBgn0232480,0,0,3,0,0,8,1,0,0,0,2,9
FBgn0237309,5629,5169,4522,5218,5475,29559,5479,5327,6596,5367,6002,6207
FBgn0232484,8263,9597,8347,11786,11892,62423,8821,11393,12866,9252,11525,11692
FBgn0237305,2973,2931,2727,2573,2310,12597,3075,3116,3609,2346,2430,2483
FBgn0235707,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0237307,14,15,14,10,20,106,35,6,5,25,18,18
FBgn0237306,7,12,13,14,0,47,11,12,11,11,3,14
FBgn0237301,221,223,267,271,165,962,238,224,257,261,195,151
FBgn0237747,561,431,453,370,307,1984,547,584,535,437,313,293
FBgn0237303,527,345,388,640,450,2379,482,492,526,748,520,400
FBgn0237302,2571,2230,1921,1746,1636,8515,2143,2123,2524,1776,1394,1491
FBgn0236302,23,11,0,14,10,26,29,10,12,5,3,16
FBgn0239044,13425,10937,11732,9365,7779,43740,12514,11605,13573,8342,5885,5477
FBgn0236300,2469,1999,2064,1907,1695,9040,2459,2492,2675,2254,1825,1668
FBgn0236301,1696,1246,1260,1636,1244,7011,1800,1621,1857,1897,1464,1301
FBgn0236306,48,14,29,56,48,265,58,23,54,27,45,52
FBgn0236307,1983,1583,1540,2131,1548,9305,1996,1892,2057,2586,1898,1608
FBgn0231464,3468,2990,2691,2594,2261,11352,3586,3669,3590,3042,2420,2211
FBgn0231465,3,0,5,19,3,46,4,0,0,14,10,6
FBgn0236308,7935,6787,5913,8431,7310,38446,8141,7704,8530,7641,7398,6849
FBgn0236309,11677,12238,10269,12048,11928,61146,11699,13150,14896,10272,11904,11745
FBgn0239046,3923,3394,2893,2984,2846,14764,3814,3901,4035,3321,2941,2615
FBgn0239412,0,0,0,0,0,3,0,0,0,0,0,0
FBgn0276194,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0232015,17,42,36,26,15,94,50,36,43,19,10,27
FBgn0275478,207,155,118,163,130,707,183,181,216,159,120,113
FBgn0239040,375,381,358,397,318,1517,367,349,412,396,295,225
FBgn0235257,1963,1438,1540,927,686,3577,3052,2675,2310,1193,1234,818
FBgn0276192,0,0,0,0,0,4,941,1003,1092,673,391,374
