genes,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0013162,4510.540039,4865.484375,4976.898438,3671.3396,3911.914795,3724.73584,3975.208496,4140.321777,4745.824707,3933.109131,3646.616943,3501.481934
FBgn0013163,2.398954,3.551914,3.736477,1.885901,2.657813,2.860157,4.22691,2.635702,3.719978,2.258806,1.750934,2.3897
FBgn0013164,3.583653,2.082084,3.190696,1.247109,1.61133,1.972859,3.560728,1.851959,1.249691,1.251472,2.202967,1.528296
FBgn0013165,3.02676,5.504917,2.098842,2.822724,2.180397,1.911124,2.221895,1.6836,1.748237,1.248673,1.217513,1.416571
FBgn0013166,1.665309,2.688917,0.775303,2.369482,1.035969,0.73912,1.068461,0.997265,1.133847,0.436002,0.923312,0.527138
FBgn0013168,278.424194,218.281784,258.029999,237.087036,250.172043,252.183411,235.299011,218.364212,221.63858,238.823761,217.29187,211.647705
FBgn0013171,532.039795,466.33078,474.614227,420.744293,418.839355,409.163635,484.635223,518.616516,464.206116,437.93515,427.867706,406.299255
FBgn0013172,0,0,0,0,0,0.156856,0,0.166157,0,0.103624,0,0
FBgn0013173,0,0,0,0.237877,0.164509,0.041642,0,0,0.159411,0.376182,0,0
FBgn0013174,0.961749,1.114949,1.185986,0.771282,1.611887,1.357181,1.324579,1.487819,1.160093,3.009703,1.683125,1.934103
FBgn0013176,0.016327,0.035597,0,0.612668,0.276232,0.302455,0.015553,0.015828,0.08437,0.29811,0.703975,0.432945
FBgn0013924,1506.05957,1325.427002,1425.20166,1378.333862,1331.960327,1242.583008,1627.954956,1452.048218,1467.790161,1713.081299,1423.295654,1383.946777
FBgn0013927,0.271807,0.166669,0.402623,0.089403,0.144163,0.119014,0.111155,0.167079,0.123016,0.086057,0.100685,0.178679
FBgn0015215,16.683029,13.373838,22.22035,32.760483,13.93114,10.658314,21.337057,11.35338,15.343494,28.605362,11.296971,12.531522
FBgn0015691,6.459606,6.108379,5.84474,2.690981,2.370002,2.181571,8.055108,6.83202,5.920894,3.375511,3.613,3.783297
FBgn0017652,418.549286,394.013428,393.25528,460.324951,440.830383,440.671967,428.573364,428.559814,403.473297,517.089844,456.695862,477.376862
FBgn0017654,0.153843,0.289503,0.087375,0.182875,0.085205,0.428432,0.031594,0.138634,0.095293,0.400798,0.384391,0.143368
FBgn0020061,21.502808,20.212917,17.302786,34.484955,36.366489,37.86845,16.819147,20.104265,20.114511,28.614882,32.466476,36.666557
FBgn0020062,0,0.047477,0.117305,0.591699,0,0.269241,0.315474,0.126722,0,0.123361,0,0
FBgn0020063,1.908336,1.76703,2.138323,1.844826,2.657587,2.618875,2.215339,1.95436,1.986495,2.20146,2.439985,3.111729
FBgn0020664,3.46436,1.749406,1.375387,2.567465,1.117445,1.406053,6.379481,1.683677,0.869018,4.215991,1.766754,2.278852
FBgn0020665,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020944,151.498306,136.150696,154.209656,126.512337,121.42556,117.936951,137.156784,133.004303,133.537857,147.124207,129.877579,134.120361
FBgn0020945,17.941637,12.00824,15.522806,14.685535,15.851524,14.071259,23.077379,17.368799,17.983088,21.460369,7.575206,22.372826
FBgn0020949,9.016878,8.505781,5.796356,4.399326,4.665705,3.779913,4.181597,3.831326,4.964936,3.883766,3.817406,4.588537
FBgn0020950,276.233887,329.844971,279.422668,294.554047,324.346466,326.471405,274.25647,312.125366,333.5448,279.489441,338.30542,354.049591
FBgn0022409,41.401421,73.896935,62.50148,42.634983,46.190048,41.306499,53.040245,65.687065,71.97924,34.865555,43.722878,49.888561
FBgn0022412,169.924698,143.586639,164.158447,152.618881,131.854782,142.526886,167.246841,164.099472,166.491364,189.909805,166.20285,145.841888
FBgn0022414,14.756541,15.292399,15.086859,22.985289,16.946642,18.487955,16.595987,18.056238,17.103363,18.77667,19.910238,16.385427
FBgn0022418,56.255386,54.202763,53.446724,54.255219,56.295692,52.847198,48.76825,48.894787,51.347275,48.980808,49.415321,52.874004
FBgn0022816,43.14426,44.8713,41.929214,38.620422,45.041229,44.232433,37.284546,37.578594,37.55212,38.027431,38.306408,38.638065
FBgn0022818,10.798176,8.357486,6.471047,7.686872,6.17263,4.820842,4.855212,2.388017,2.982433,4.69143,3.749293,4.73518
FBgn0022822,296.223907,285.429718,272.270569,290.967804,292.995605,280.371094,275.759338,294.003265,259.849304,260.703369,274.070038,271.326996
FBgn0022824,4.314784,5.527631,4.457098,4.023988,6.341599,4.823416,4.032048,5.473902,5.999999,3.812222,4.965679,6.380835
FBgn0022825,0.969135,1.352861,1.146778,1.582422,1.594094,1.562215,1.527026,1.305598,1.046387,1.355591,2.309096,1.678417
FBgn0022826,5.327197,8.898074,9.000154,10.209566,11.48297,12.495436,6.535971,8.048352,9.672272,7.360048,10.903896,12.550984
FBgn0022827,0.080928,0.116266,0,0,0,0.039191,0,0,0,0,0,0.051464
FBgn0022828,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0022829,1092.755615,973.349121,1067.091431,1032.841064,897.909424,1007.33197,1112.314209,995.559998,994.457397,1214.167969,1017.050842,940.182739
FBgn0024766,0.354563,0.535975,0.642646,0.077945,0.424278,0.362412,0.335544,0.335385,0.706149,0.204777,0.60726,0.220415
FBgn0025012,507.914337,451.247101,488.002411,629.816772,544.912781,531.800415,514.658813,491.461487,464.91626,691.665283,580.13916,537.449219
FBgn0025015,3.564355,3.606295,3.544069,0,3.085279,3.163586,2.297918,3.004728,3.198241,2.800329,2.706727,0
FBgn0025397,0,0,0,0.061623,0.072448,0.013612,0,0,0,0.053243,0,0
FBgn0025398,0.080812,0,0,0,0,0.043149,0,0,0,0,0,0
FBgn0027797,0,0.096089,0,0,0.062111,0.058232,0,0.050613,0,0.146494,0.137888,0.163899
FBgn0028749,0.963953,0.684114,0.977277,0.762973,0.577501,0.480441,0.043117,0,0,0.042573,0,0.055216
FBgn0028750,231.002777,273.00943,272.895294,293.318939,318.63559,303.487823,248.471924,287.779755,299.873657,225.79303,288.289917,280.562897
FBgn0029186,363.484314,415.138916,372.785919,318.150848,405.227234,386.228149,345.34021,378.77298,367.238373,290.275909,362.289307,416.374451
FBgn0029187,1219.474243,1143.597656,1192.937256,1123.657104,1000.466492,951.833313,1227.55188,1074.267944,1055.960571,1220.43103,985.601868,953.583923
FBgn0029191,28.905676,25.818415,26.371637,24.192949,21.087616,22.393965,37.206867,30.180771,28.149584,22.470354,26.289919,19.806923
FBgn0041637,7.607654,7.269656,8.182426,7.145611,9.249283,10.867731,6.290316,8.9555,8.805779,5.273638,9.089465,8.848323
FBgn0041638,23.876627,29.500671,27.491665,26.552738,31.449762,30.894772,37.083599,42.982231,43.182793,31.129084,37.754742,42.200523
FBgn0041639,5.77869,4.987937,5.455739,4.896613,4.431918,4.769706,2.884214,3.64259,5.301766,4.037314,3.912024,4.480478
FBgn0041640,68.082283,82.382614,67.155525,76.3265,96.568329,99.400299,67.560577,73.728294,75.812294,55.674141,86.368713,108.240585
FBgn0041642,51.236591,60.449581,51.272686,63.877525,76.575966,76.761292,50.730354,53.981499,56.604755,49.943157,66.80658,79.117233
FBgn0041643,77.015991,103.180771,94.6334,79.254829,89.968796,96.193642,78.863426,84.346924,85.185951,62.895237,86.122475,99.380867
FBgn0041644,51.173714,52.20615,45.796925,47.813042,52.996239,53.042591,48.015862,48.191467,49.146175,49.7701,50.415821,54.845085
FBgn0041645,1166.322021,968.262695,1009.975342,1075.63208,1008.027649,1108.772705,1280.224243,1118.621582,968.460999,1139.647949,1135.766479,1131.360718
FBgn0041646,52.402592,60.233818,56.676388,55.584263,59.693104,61.413303,51.245502,51.884445,56.441082,51.905071,58.655125,64.17836
FBgn0041647,118.716118,126.270409,102.156898,121.891251,139.871124,143.272491,122.322983,124.783333,123.126015,112.885628,138.513687,156.175323
FBgn0041648,302.089142,290.275726,300.348633,338.301483,321.938782,319.292145,316.772308,310.33075,311.64389,385.981873,349.367798,338.374908
FBgn0042715,1.662843,1.576125,1.074194,4.18666,3.367358,3.839237,0.918203,1.340536,1.72081,2.414126,5.661712,3.832715
FBgn0042719,151.419144,48.402206,25.764778,47.545307,25.224739,18.562065,89.228043,122.839951,38.573517,45.448856,83.306091,71.412239
FBgn0042720,0,0,0,0,0,0,0.054029,0.157279,0,0,0,0
FBgn0042721,0,0.065106,0,0,0,0.01162,0.053827,0,0,0,0,0
FBgn0042722,20.17391,19.048298,19.326067,16.97851,17.200966,17.989508,20.715937,19.289579,18.538778,20.945269,19.272326,22.353109
FBgn0042723,27.327328,25.613163,27.286777,26.050838,27.261297,25.015423,22.05072,22.409885,22.557774,25.480406,22.899784,26.907726
FBgn0042724,2.158465,1.736594,2.067079,2.239369,1.183231,1.556734,5.290109,4.431549,4.842333,3.224016,2.461555,2.027467
FBgn0042725,0,0,0,0,0.020717,0.039263,0,0,0.030502,0.025147,0.058005,0.029968
FBgn0042726,0.130563,0,0.161449,0.129487,0,0.029283,0,0.084104,0.112638,0,0.143525,0
FBgn0042728,0,0,0,0,0.061146,0.03338,0,0,0.067937,0.077202,0,0
FBgn0043389,95.437271,135.632065,116.06739,158.039902,191.799652,186.793762,48.030308,51.459949,52.646706,50.108829,66.939766,79.252556
FBgn0043598,32.686661,35.013134,29.551437,26.455952,30.88044,32.896637,22.287273,25.242384,28.592148,19.474316,23.855291,25.109215
FBgn0043599,0,0,0,0,0,0,0.368754,0.128841,0,0,0,0
FBgn0043601,12.28778,8.135349,10.167555,4.233178,5.239318,5.398281,9.147888,11.060781,9.195867,4.603144,4.866989,3.255925
FBgn0043602,100.570496,93.255264,102.637039,77.026665,71.985718,78.595169,107.729561,92.651154,103.65789,99.800011,83.384689,77.075615
FBgn0043603,19.930502,17.910328,19.296021,21.045666,22.750174,21.063513,28.084669,27.559862,28.847097,28.218597,31.955301,29.972679
FBgn0043604,196.119064,231.718506,197.837906,175.163727,144.382446,175.436478,214.38501,240.78981,246.565643,106.046936,127.230637,134.525711
FBgn0044135,497.69397,464.869873,487.98465,299.306183,314.866547,315.591461,449.46283,405.214905,411.869293,300.77652,276.621582,257.630798
FBgn0044136,16.604008,9.579646,11.205465,7.045289,7.258949,10.086624,6.451294,5.169859,6.678654,6.352176,4.193434,6.257343
FBgn0044479,0.874782,1.587447,0.796434,0.852824,0.450146,0.652015,0.805944,1.344817,1.148909,0.891152,0.950501,1.006934
FBgn0044885,0,0.173596,0,0.082301,0,0.054722,0,0.072708,0,0,0.05533,0
FBgn0045505,79.491692,118.61161,94.392403,73.200935,98.657013,104.241898,81.30632,102.738991,107.431747,46.441952,92.106781,98.478973
FBgn0046713,2.39954,3.129032,2.436377,2.000859,2.43146,2.670859,5.849887,7.332458,7.296966,3.86479,5.890082,6.616248
FBgn0046889,57.889942,52.36919,56.946747,49.431278,46.000584,49.599522,51.263561,51.235649,50.73484,48.067917,43.675896,46.208744
FBgn0046891,281.246277,271.731812,261.945648,246.233994,244.335144,247.573135,209.201828,205.591125,221.406921,240.561859,218.546555,265.143005
FBgn0046892,163.756927,217.705963,212.525131,221.851959,215.900131,216.338928,179.313828,202.892853,218.62001,192.068787,211.72905,199.750443
FBgn0046894,0,0,0,0,0,0.034744,0,0,0,0,0,0
FBgn0061211,0,0.088175,0.093368,0.26146,0.264715,0.346826,0.217232,0.145673,0.113555,0.109504,0.236516,0.367223
FBgn0064246,244.439056,230.740967,249.688736,237.265213,244.774124,246.259842,216.65416,234.485184,219.671326,235.358917,249.494247,194.209183
FBgn0064247,0,0,0,3e-06,0.23573,0.000337,0,0,0,0,0,0
FBgn0064248,0.074664,0.152349,0.332414,0.604359,0.58423,0.325241,0.353737,0.455059,0.23708,0.621092,0.40301,0.129956
FBgn0064249,82.037048,82.724876,80.3283,79.029999,82.298775,80.480186,77.979202,76.246796,86.049706,65.605179,79.422813,81.101425
FBgn0064253,1410.529175,1585.136841,1497.779907,2056.818604,2402.058105,2378.72998,1285.926758,1389.20166,1446.762939,2001.359375,2016.974609,1812.428467
FBgn0064254,1467.032227,1271.037354,1438.312134,1402.944458,1152.746338,1135.984619,1566.01062,1312.203491,1302.973511,1651.916748,1273.348511,1182.92688
FBgn0064255,173.432037,198.376617,177.113678,192.316483,222.899109,218.247864,176.62854,189.044754,193.171417,153.908997,207.379318,228.875092
FBgn0064259,1.807301,2.612489,2.760094,2.710837,1.462355,2.972942,2.318342,3.931417,3.049079,1.069508,2.938715,3.456506
FBgn0066133,106.570786,105.23571,100.987808,92.750458,88.39782,90.215179,103.504211,127.684425,99.604141,96.656776,92.707611,96.868919
FBgn0066134,87.963875,77.250504,83.170387,77.31044,79.532143,86.931206,100.625053,87.171707,76.785332,78.878532,94.113312,97.971169
FBgn0066135,454.39035,286.295044,272.625092,350.386597,282.878601,262.751587,354.298248,341.501587,231.84584,254.757034,342.360718,286.496094
FBgn0066136,100.403198,125.435234,135.531937,142.997757,130.810532,131.758911,105.427895,117.010689,120.52327,119.670853,133.537415,136.327454
FBgn0066137,64.849556,66.730583,63.938507,63.636757,62.29361,62.608601,59.181561,64.869148,61.447121,59.640358,56.006485,55.239494
FBgn0066138,130.32634,122.762901,137.896103,141.875092,138.455414,152.148788,153.836105,141.003525,148.034805,147.251938,164.735077,165.924805
FBgn0066139,28.053791,26.599573,24.64139,23.522226,25.262547,25.045279,25.95067,25.680107,25.658596,23.172827,25.085268,27.584099
FBgn0067106,12.093359,15.078072,13.002296,13.027695,14.256642,15.725127,9.969664,10.206312,14.260395,9.711539,12.947556,15.51761
FBgn0067423,43.22858,43.270744,40.531197,40.488029,42.329933,42.107983,37.399693,37.362572,37.700222,36.876045,40.478317,38.836323
FBgn0067424,20.471292,18.550205,16.242327,15.35768,22.520157,16.979235,14.622363,15.752212,14.424371,11.970006,19.077253,12.667613
FBgn0067425,4.054468,3.644176,4.252343,4.43452,3.581341,4.298144,3.097693,3.085634,2.744045,3.28049,3.229422,3.416136
FBgn0067426,0,0,0,1.293342,2.062554,1.078773,0,0.15026,0.205503,1.025954,0.978111,0.701901
FBgn0067427,79.637619,65.612328,74.121384,41.971878,49.146923,42.524769,63.430576,50.951092,56.907562,38.244637,40.161209,41.637474
FBgn0067428,134.136032,137.385605,135.742523,114.062317,97.144058,98.785927,143.300476,130.48465,132.925812,121.525703,109.373764,108.270142
FBgn0067429,3.402484,3.666664,3.824098,4.374227,3.267504,3.441013,2.72446,2.996753,3.661511,2.884326,3.378984,3.475548
FBgn0067430,26.878862,22.719196,23.784786,26.082451,23.851295,24.391842,21.856613,21.148815,21.769989,29.124582,24.333557,25.708389
FBgn0067431,4.943748,4.588159,8.983843,4.03621,4.450435,5.415815,6.135327,6.385202,4.782072,4.421524,4.687434,5.415104
FBgn0067432,85.270027,85.08683,82.68705,86.134659,90.217834,86.653206,83.938896,87.082512,87.044403,85.911995,87.083298,92.104912
FBgn0067433,63.685696,73.620476,65.483727,86.532402,91.018257,91.309387,66.485916,71.933067,76.556786,66.463768,82.079498,90.179413
FBgn0067434,40.850597,30.151007,34.743156,35.205353,27.400833,28.710112,21.310253,34.469688,23.117228,29.762434,25.307592,24.126375
FBgn0067435,0.77052,0.654967,0.453656,0.523244,0.304163,0.280965,0.573517,0.372627,0.527154,0.454877,0.171313,0.358665
FBgn0067436,2.944439,3.058856,3.753659,2.995555,2.541802,2.501391,4.005395,3.684344,3.949395,2.235038,3.340721,2.699932
FBgn0067437,61.069431,63.20871,57.649254,49.797905,53.668598,55.872612,57.238144,57.438457,59.552731,49.641983,56.19043,60.242912
FBgn0067438,0.993944,0.508184,0.156082,0.212411,0.099058,0.272435,0.750583,0.405275,0.493392,0.599448,0.421837,0.301268
FBgn0067439,2.139604,1.942224,2.934386,2.275464,2.204001,2.417194,1.103068,0.606209,1.609878,0.934522,0.817612,1.283666
FBgn0067440,6.393309,7.00816,5.144381,4.334486,3.181486,3.154875,7.142058,3.437215,4.4123,5.597922,2.71155,3.625965
FBgn0067441,0.949187,1.199356,2.138652,3.784023,4.383355,5.018578,1.60692,1.840551,1.667838,1.408665,0.803446,1.52501
FBgn0067442,7.682061,4.460085,9.518457,1.714226,1.06987,1.114279,4.842457,4.095068,4.635532,0.599377,0.618464,0.78831
FBgn0067443,7.3711,5.211884,6.722745,9.267975,12.582037,10.804936,9.557645,8.518756,5.079698,9.339581,11.239974,10.632782
FBgn0067444,136.828903,128.343063,130.477554,123.842361,132.90033,131.51622,122.646996,138.298813,129.472519,116.366432,116.534515,119.395973
FBgn0067445,44.909149,46.348423,45.32383,45.15855,50.455421,49.720894,42.184414,44.762619,43.440758,43.041027,47.606812,50.35231
FBgn0067446,0.749248,0,0.60727,0.17956,0,0.482763,0,0,0.21507,0.610265,0.139843,0.390571
FBgn0067447,99.161606,100.611565,97.211845,96.447426,115.67897,109.562752,89.627663,99.34549,102.73111,95.677696,106.158295,99.524597
FBgn0067448,9.799417,8.825905,9.592476,7.08348,5.284124,6.033526,8.729251,7.385283,8.016052,5.789382,5.316571,5.844273
FBgn0067449,7.552929,7.449856,8.210196,6.433118,7.361617,6.633458,18.574804,18.114046,17.851664,21.046076,18.023653,19.015633
FBgn0067450,45.035709,45.678299,50.069283,44.584583,50.035587,42.928558,60.312832,55.815632,47.815098,35.437737,43.200058,52.039661
FBgn0067451,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0067452,7.735685,7.273804,7.285497,3.597686,2.853826,3.434119,7.085698,5.870157,7.537321,3.602017,3.809315,3.762913
FBgn0067453,27.254631,28.644251,24.955206,19.460287,20.425968,20.828987,29.642269,28.988459,29.182001,16.612087,20.025246,21.577274
FBgn0067454,68.156746,61.49826,64.133217,45.971924,42.91169,44.554119,69.905373,66.53643,64.558228,57.104286,49.252686,43.444397
FBgn0067915,1.546136,5.64732,0.6689,7.319897,0.719259,1.847759,1.496036,0.415481,1.228372,10.86775,3.705775,0.938776
FBgn0067916,2917.223389,2632.062744,2816.283691,2958.010742,2282.996338,2456.491211,2945.126953,2726.216064,2625.7854,3364.512207,2634.705811,2564.803955
FBgn0067917,57.733875,46.744633,56.354298,55.218884,44.549934,46.560032,47.672153,42.587902,49.454006,51.292107,45.112537,43.990791
FBgn0067918,16.023294,14.880106,20.96096,17.833553,10.216394,8.386677,23.287598,13.149177,18.294165,19.652487,12.763838,15.207262
FBgn0067919,31.671127,30.074949,30.845181,26.169399,25.871408,25.950794,23.996351,28.570648,27.483141,25.129734,24.399696,25.537523
FBgn0067920,114.242287,100.891678,103.995163,100.108673,91.500175,93.00795,92.305687,88.111069,92.162407,101.076759,84.889244,93.17598
FBgn0067921,8.154818,1.587612,0.876528,5.908561,3.01156,2.827756,57.084629,2.12989,2.857852,17.357445,7.086509,11.261539
FBgn0067922,78.864883,112.157188,112.685936,120.45285,122.117546,122.716148,86.552338,107.966476,114.753082,89.467697,119.241119,118.853935
FBgn0067923,272.738556,390.469269,361.811035,361.361969,383.638977,391.251923,334.746399,420.746643,430.872345,274.930054,386.791504,379.879974
FBgn0067924,167.908142,154.40004,173.631317,174.557571,179.382812,169.397888,176.612656,167.680542,151.662704,186.313217,160.88533,151.228577
FBgn0067925,1469.927124,1340.248413,1455.048706,1294.554932,1102.764526,1149.349121,1454.787964,1332.646118,1291.57019,1463.777344,1202.643799,1169.680176
FBgn0067926,4.486795,7.274451,6.117265,4.668811,2.539549,4.922799,5.609937,5.081427,7.638899,9.254414,8.579488,8.619353
FBgn0067927,36.83054,52.792702,43.341793,51.254559,59.904881,56.578976,37.158558,47.818115,49.701996,35.426033,50.609119,54.144276
FBgn0067928,349.823883,329.460876,348.620758,315.436615,276.551971,317.901489,325.874359,312.586945,308.768494,334.409668,313.37735,287.71286
FBgn0067929,0.137802,0,0.092415,0.144856,0.387176,0.029334,0,0.033896,0.103764,0,0.111449,0.102058
FBgn0067930,4332.918945,4097.341309,4296.472168,4733.757324,4770.849609,4483.121094,5243.263672,4898.790039,5070.697266,5307.585938,5138.595703,4735.106445
FBgn0067931,47.837826,49.660469,51.473064,45.859955,43.640316,41.331314,46.632347,45.535519,48.133266,44.663818,44.546124,38.820148
FBgn0067932,15.18748,14.25104,14.800365,10.441794,12.169461,11.963435,11.739935,13.090635,10.672632,10.653708,10.801494,11.941653
FBgn0067933,125.562752,77.437279,96.886909,147.231339,134.594482,135.969284,100.53936,87.849487,96.666283,163.171387,130.982529,124.194664
FBgn0067934,250.548737,223.701431,244.583252,251.693924,251.513138,247.891159,243.749283,238.446289,224.305664,265.961792,257.114685,256.248291
FBgn0067935,2075.263672,1772.269775,1930.828491,2288.80835,1735.152344,1805.672607,2091.307617,1761.170898,1790.05188,2532.744629,1937.547729,1812.789185
FBgn0067936,24.230942,31.642086,26.65539,20.337393,22.229242,19.611376,23.751842,30.876328,25.73089,19.276989,15.611465,16.892866
FBgn0067937,58.861286,51.03516,58.525398,57.434486,48.092411,53.24902,62.377148,63.538761,60.517868,70.155266,58.415802,56.021336
FBgn0067938,1547.475586,1366.153076,1519.144897,1625.583618,1553.853027,1551.174805,1726.293701,1640.763672,1605.337158,1854.947144,1664.83313,1634.736328
FBgn0067939,505.860291,372.107697,486.958435,462.027283,436.914551,475.941498,534.290344,505.605713,488.324554,645.477905,467.662262,427.849884
FBgn0067941,0.034273,0.209846,0.177001,0.03229,0.10041,0.121791,0.238125,0.334945,0.110126,0.223446,0.083244,0.171643
FBgn0067942,9.005336,8.115081,8.125158,8.216087,7.841813,8.393104,7.785783,7.753847,7.747838,7.515021,8.094871,7.710498
FBgn0067943,14.29361,12.876471,14.056194,11.656057,11.623415,11.075666,15.800968,11.809066,14.717007,13.522029,13.259236,14.246342
FBgn0067944,522.469055,465.75946,559.738647,609.17749,530.600891,542.492615,591.864746,565.496948,518.896851,703.993774,551.861511,527.854736
FBgn0067945,49.928558,51.044418,52.259655,46.779285,45.682022,48.332043,47.781773,48.444126,47.859055,52.591068,48.68808,51.145496
FBgn0067947,157.03804,184.230713,178.354721,204.635559,195.429901,182.952682,150.903442,166.718735,177.407547,174.770737,190.808365,179.68924
FBgn0067948,160.20517,141.332245,153.023788,156.388885,141.873566,168.068542,166.211182,161.230698,151.827682,143.819962,176.528793,164.892105
FBgn0067949,77.780014,73.91687,77.581367,67.596947,68.402855,66.842682,72.616096,69.454857,72.726524,75.653656,68.192993,69.779358
FBgn0067950,220.465118,197.349213,220.754608,210.194489,177.845276,192.70314,208.200363,198.11113,198.9142,230.414612,199.642807,183.460648
FBgn0067951,4.697346,6.698049,5.363981,4.187654,5.026924,4.411283,3.427234,4.524936,4.681777,2.846795,2.863995,3.084018
FBgn0067952,45.046776,37.883492,37.96162,24.9224,23.122581,22.960709,46.40638,43.099369,41.809937,33.662605,30.079,23.609524
FBgn0067953,88.387192,85.7108,88.507462,88.699753,78.586662,81.198013,102.08712,90.8713,89.439606,101.937805,89.527657,88.230408
FBgn0067954,21.088747,16.922392,18.807755,19.892498,23.956604,24.750484,15.559792,14.996816,18.616791,20.041023,21.823391,24.436567
FBgn0067955,3.240026,1.778075,0.310622,1.408527,0.326355,1.00334,35.7728,0.704505,1.040322,1.7267,1.92943,0.03774
FBgn0067956,407.333099,381.848297,411.623749,407.586517,382.277283,396.951874,417.364685,391.675934,396.009888,491.928162,382.333221,364.531372
FBgn0067957,488.702789,474.116791,479.684723,551.43457,552.063721,561.859863,491.599609,474.586212,479.400818,609.529907,563.228455,549.226196
FBgn0067958,29.124369,28.62413,28.516069,28.437901,27.017496,28.112528,28.346342,26.743935,28.716726,29.097712,28.37982,27.698807
FBgn0067959,1370.393921,1120.436279,1295.064697,1442.526123,1174.831055,1261.291748,1586.574097,1451.350952,1356.184937,1870.445312,1441.839966,1290.753052
FBgn0067960,160.316238,147.706802,155.119003,158.203171,158.609314,155.020859,144.612595,146.54184,144.7276,179.5849,166.315002,146.559631
FBgn0067961,22.041208,21.175447,22.981436,30.830343,29.459761,28.611984,22.643831,20.65251,18.814899,33.630959,30.907854,30.172619
FBgn0067962,6.199627,6.768274,5.862706,5.813604,6.613571,6.329668,5.893441,5.798398,5.763186,5.241704,5.753677,6.010628
FBgn0067963,57.725826,59.244232,63.566475,45.131088,47.081772,49.621761,58.014107,63.417843,53.157658,39.63821,46.512825,39.329063
FBgn0067964,9.259962,8.35123,9.659499,5.599103,6.386755,5.667964,9.357744,8.33228,8.583767,6.873879,6.679389,5.486075
FBgn0067965,32.405121,27.536411,29.960787,32.886299,28.581697,29.0949,31.783327,29.252897,28.738747,32.334038,29.995794,27.102097
FBgn0067966,162.381149,217.925064,213.267349,235.428116,214.640762,220.282578,171.120239,214.978119,214.951996,184.358139,213.134689,212.214767
FBgn0067967,0.224889,0.14224,0.236125,0.110978,0.135734,0.111552,0.227917,0.179781,0.15437,0.096418,0.080611,0.143851
FBgn0067968,18.735123,16.733313,22.217215,19.304308,19.144732,16.829105,15.566916,16.581024,17.010567,19.507402,16.50639,13.670471
FBgn0067969,42.898861,38.58165,33.714375,40.466789,47.089783,49.001518,49.951477,47.998066,46.679897,40.892391,52.568623,53.188637
FBgn0067970,186.262558,236.35556,233.526291,408.576263,413.975586,423.144592,181.414917,243.443542,241.107559,294.661133,365.921478,354.821472
FBgn0067971,296.03476,388.160797,312.834808,435.846527,464.468628,460.150482,361.794769,401.581268,422.188232,352.515533,403.532623,396.749542
FBgn0067972,7.10027,4.848621,5.112877,6.712058,3.307605,4.402318,5.639431,3.516655,3.982947,5.431908,3.359022,2.356278
FBgn0067973,31.00165,27.906345,29.297117,24.859306,19.761078,20.968937,39.911777,42.014896,40.545147,33.361549,28.205864,29.884111
FBgn0067974,48.13879,46.448906,49.117569,46.809605,50.758301,48.672489,44.815529,47.107121,45.763382,45.119076,49.018574,48.809368
FBgn0067975,9.751854,15.519977,19.828526,16.107603,11.496323,6.998112,19.359415,11.659074,15.279253,11.980164,10.078302,15.009099
FBgn0067976,0.942583,0.942311,0.643675,0.682438,0.482547,1.039497,1.409017,0.856575,0.629872,0.250793,0.846793,1.052753
FBgn0067977,74.503029,79.034302,73.669868,74.662254,84.926773,87.545578,71.36985,73.835823,77.950737,69.39872,79.990387,90.2472
FBgn0067978,317.607727,347.982117,351.855743,338.467743,369.314423,351.673553,321.446167,369.957642,359.400787,300.451355,363.696533,339.748016
FBgn0067979,497.084076,548.227661,567.107849,561.374756,564.577332,568.020813,504.327789,572.016663,562.563538,469.136658,548.11615,556.160217
FBgn0067980,351.606903,365.79129,370.184692,402.469635,381.789215,395.022125,351.210632,367.983765,371.444672,354.603607,392.444458,387.721619
FBgn0067981,616.016846,574.004883,594.503174,633.198242,559.922485,600.893005,545.988647,568.877502,543.212708,635.802673,577.507996,580.437134
FBgn0067982,1433.050537,1348.925659,1350.56665,1974.769043,1728.940063,1794.996216,1424.851562,1333.735718,1303.612427,2175.496582,1880.622192,1845.865967
FBgn0067983,495.352631,474.891815,490.363739,529.863647,484.493225,490.964508,489.435486,480.294312,493.019501,517.454346,522.40271,473.648102
FBgn0067984,115.897667,103.436813,114.022331,102.065247,90.272423,97.795944,105.993408,100.943871,105.361687,109.517265,101.021484,100.321777
FBgn0067985,2.258223,2.684328,2.244866,2.975811,3.487562,2.936839,2.054323,1.997638,2.514342,2.93028,3.359925,3.121155
FBgn0067986,43.850842,51.744247,39.672844,32.816505,38.907295,38.878761,42.077579,42.912746,43.437572,29.349882,37.427177,46.576008
FBgn0067987,83.531044,82.64846,74.225212,85.011284,99.403938,94.906792,66.860535,65.047455,69.281693,70.545975,80.946518,87.008026
FBgn0067988,745.331238,603.247009,637.976807,559.354431,611.726013,590.021973,599.541992,568.326172,567.769409,583.485718,548.613098,578.352661
