genes,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0238922,394.610779,447.739441,428.117981,428.571045,470.820709,487.942383,341.101593,374.588745,366.527924,362.623108,412.621582,431.83078
FBgn0238923,52.561932,46.598843,45.811817,44.389351,43.883877,44.644608,43.437298,44.529926,42.569099,39.585014,44.167831,43.730083
FBgn0238924,0,0.054997,0,0.041641,0,0.005468,0,0,0,0,0,0
FBgn0238926,0,0,0,0,0,0,0,0,0,0,0,0.081164
FBgn0238927,0,0,0,0,0,0.017117,0,0.144979,0,0,0,0.095974
FBgn0238928,0.091196,0,0,0,0.200247,0.049919,0,0,0,0,0,0.241908
FBgn0238929,4.432927,7.302952,5.3662,5.023778,6.846844,7.590642,4.34043,7.429168,6.473927,2.835826,7.078899,8.332413
FBgn0238930,0.039584,0.030832,0,0.140344,0.102042,0.154714,0.226258,0.108791,0.059695,0.07343,0.117303,0
FBgn0238931,0.207743,0.321073,0.200342,0.340269,0.355464,0.372646,0.266509,0.256384,0.037517,0.162521,0.233777,0.412784
FBgn0238936,3.009852,2.823467,3.37072,1.879864,1.087541,1.868619,5.114076,4.580419,3.64048,1.823585,3.088666,3.10977
FBgn0238937,40.980957,77.363029,59.766281,68.270073,87.706306,91.835495,52.663315,66.895493,72.677002,41.579121,77.896797,92.599762
FBgn0238938,63.149406,54.747559,55.703247,52.166702,50.089912,45.385818,59.292587,56.479053,53.689106,53.101257,47.196732,43.970074
FBgn0238939,91.954796,92.487473,95.212418,98.967499,110.875282,105.138428,95.905975,102.470901,100.443138,103.348122,110.823387,106.73568
FBgn0238940,13.004681,20.046776,17.773117,23.432941,26.784328,28.05435,13.67503,17.27219,18.855747,14.89149,22.509743,23.369572
FBgn0238941,206.672424,253.29567,214.916473,279.017517,338.84021,338.578003,208.342331,245.338409,246.100693,202.581863,298.166321,339.210388
FBgn0238944,42.915997,40.397717,40.200729,28.458778,26.995449,28.276962,38.861549,45.120113,45.0233,31.222698,27.715124,30.10376
FBgn0238945,0,0.210388,0,0.215623,0,0.302313,0,0,0,0.384551,0,0.270507
FBgn0238946,138.189087,142.558777,131.899567,153.584549,170.004807,155.119904,147.924805,157.293121,158.088486,164.607635,172.869232,179.482544
FBgn0238947,28.482208,54.536572,42.640877,57.073391,70.223381,80.452652,36.576057,48.06937,47.914658,32.15773,63.784477,80.190933
FBgn0238948,12.343737,13.56585,12.76115,15.334127,16.557692,15.187395,11.043407,10.138281,11.651423,16.270378,15.54729,15.750991
FBgn0238949,76.335808,92.807404,79.992584,88.152267,104.792152,106.351547,80.513504,89.544243,90.157684,69.81028,101.579506,110.05822
FBgn0238950,86.61129,99.062424,83.443695,86.772888,105.350296,109.354256,94.83049,102.791023,104.625237,65.580811,107.814552,121.697746
FBgn0238951,44.234009,38.786667,42.741478,37.420132,33.032055,31.786396,42.720337,36.430466,47.534042,42.379089,43.203903,36.632767
FBgn0238953,2.387707,2.76083,2.489274,1.948264,1.823276,1.320798,2.648267,1.377682,2.274044,2.902103,1.988304,2.611374
FBgn0238954,0.052038,0.068627,0.189815,0.17365,0,0.085696,0.165507,0.055645,0.051385,0.107587,0.032517,0.036087
FBgn0238955,0,0.310171,0,0.126841,0,0.018272,0,0,0,0,0,0.162555
FBgn0238956,0.141531,0,0,0,0,0.058242,0,0,0,0,0.298716,0
FBgn0238958,98.622765,80.893356,97.979286,92.540459,88.5793,82.659142,99.390961,93.78569,98.55352,107.698265,87.765686,79.255287
FBgn0238959,241.997955,244.557266,229.810242,240.136536,254.931229,248.922165,233.186081,247.694473,243.494736,249.256897,260.71701,273.201233
FBgn0238961,0.672262,0.347566,0.291471,2.101481,0.691133,0.406608,0.607804,0.772442,0.157349,1.872147,0.245373,0.524461
FBgn0238962,50.673241,46.066963,49.841705,49.861401,46.277115,50.005859,48.407108,44.00771,44.218506,54.010143,50.928951,52.356022
FBgn0238963,439.504333,375.372253,401.086639,448.556458,459.453461,427.021332,433.345734,405.182831,396.472015,485.465271,430.693024,413.409332
FBgn0238964,317.262543,328.9216,333.329498,381.57608,447.761902,438.940918,353.547394,370.379852,368.030212,310.227264,448.622711,531.768494
FBgn0238965,5.855046,9.948679,6.123196,5.262646,7.963575,10.226579,5.773117,6.952234,7.580353,5.594903,6.96232,8.59863
FBgn0238966,644.132141,617.721191,670.895081,847.691589,698.668884,874.086975,398.440247,398.973145,369.956085,439.141785,520.7453,382.248718
FBgn0238967,40.071091,79.052399,51.197849,66.713516,89.301582,101.641479,49.997536,69.404015,76.504044,40.9426,85.067505,104.735764
FBgn0238968,114.956299,121.513474,110.799149,114.263184,119.660713,122.021355,120.585426,119.781746,113.866257,125.924004,126.435379,132.022018
FBgn0238969,4.479907,3.575453,5.14826,4.851288,2.983918,3.069274,5.226347,1.514755,4.29438,4.561944,3.407374,3.235879
FBgn0238970,376.717041,440.770477,413.269531,318.579956,371.25531,389.366943,351.868378,397.201538,393.926331,321.567352,377.141907,403.258545
FBgn0238972,0.452278,0.551903,0.446833,0.489112,0.210398,0.23658,0.281302,0.465277,0.385392,0.171185,0.280637,0.424453
FBgn0238973,48.210884,48.752613,48.282009,31.33387,30.654633,31.749067,54.592434,51.514824,50.042488,29.133627,37.438679,31.900593
FBgn0238974,117.379982,159.533249,153.024277,148.232712,128.354614,137.309937,126.673225,147.84787,146.006622,105.040802,136.500427,135.694794
FBgn0238976,72.287018,117.432487,102.682747,106.604645,125.631676,134.14061,84.420235,105.845505,105.860382,72.112282,113.511429,123.878258
FBgn0238977,16.923117,19.648033,15.827052,10.89945,12.335302,11.682073,18.233549,21.49737,17.79509,12.609417,11.232403,11.669881
FBgn0238978,1.491827,2.009883,0.439885,0.649407,0.554625,0.790609,0.668633,1.097255,1.418048,0.769147,0.329639,0.648061
FBgn0238979,43.390293,24.865816,22.658545,23.67384,21.542568,40.491291,42.190472,19.599249,22.664911,40.551453,39.606983,18.919512
FBgn0238980,24.337681,38.364098,37.13784,39.580215,32.234932,16.292999,20.274174,36.234344,32.825508,28.916948,19.399763,36.540623
