"","gene_id","seqnames","l2fc","qval","sex"
"929","FBgn0192780","Scf_3R",-0.189289322804774,0.0336569821329161,"f"
"930","FBgn0192792","Scf_3R",0.143323015668979,0.0388312149499648,"m"
"931","FBgn0192798","Scf_3R",0.39941352976633,0.0398876146899423,"m"
"932","FBgn0192849","Scf_3R",0.205323261287007,0.00992446107330394,"m"
"933","FBgn0192855","Scf_3R",-0.366861442072129,0.0011288878255269,"f"
"934","FBgn0192857","Scf_3R",-0.23675792533759,3.1311702465635e-05,"f"
"935","FBgn0192862","Scf_3R",-0.142191254946502,0.046604086593077,"f"
"936","FBgn0192878","Scf_3R",0.139348564803822,0.0218258046724469,"m"
"937","FBgn0192881","Scf_3R",-5.20399474613556,1.47984756957256e-41,"f"
"938","FBgn0192940","Scf_3R",-0.256703179261628,0.00205205701316564,"f"
"939","FBgn0193021","Scf_3R",-0.364772038985265,0.00676650579056061,"f"
"940","FBgn0193033","Scf_3R",-0.535627375573858,0.0336569821329161,"f"
"941","FBgn0193038","Scf_2L",-0.181253557908048,0.0106156793665608,"f"
"942","FBgn0193041","Scf_2L",-0.151049956241887,0.0445061758628813,"f"
"943","FBgn0193071","Scf_2L",0.233920146506552,7.24104896615214e-05,"m"
"944","FBgn0193072","Scf_2L",0.0987478414748246,0.0496671561390764,"m"
"945","FBgn0193130","Scf_2L",0.137340113778644,0.0341874063685687,"m"
"946","FBgn0193139","Scf_2L",-0.240198674463246,0.00178662976912522,"f"
"947","FBgn0193156","Scf_2L",-0.324020000247563,2.07130206590444e-06,"f"
"948","FBgn0193167","Scf_2L",-0.197803144414461,1.49732809559586e-06,"f"
"949","FBgn0193198","Scf_2L",0.294352489239206,1.12096808719555e-05,"m"
"950","FBgn0193204","Scf_2L",0.204701647673342,0.001384809949014,"m"
"951","FBgn0193213","Scf_2L",0.109946558593311,0.0254975641014219,"m"
"952","FBgn0193214","Scf_2L",0.193515678828522,0.000615512672261556,"m"
"953","FBgn0193226","Scf_2L",-0.179114941662815,0.030764913236888,"f"
"954","FBgn0193232","Scf_2L",-0.239833856845848,0.00285485919209068,"f"
"955","FBgn0193235","Scf_2L",-0.155429711846481,0.00313677692311953,"f"
"956","FBgn0193252","Scf_2L",0.175889066668329,8.75772450974939e-06,"m"
"957","FBgn0193280","Scf_2L",0.233003499570428,0.00184197150702467,"m"
"958","FBgn0193285","Scf_2L",-0.227661237146297,0.00589250533539807,"f"
"959","FBgn0193320","Scf_2L",0.170250987184522,2.16230763404829e-06,"m"
"960","FBgn0193336","Scf_2L",0.267489792464522,0.000570122876334203,"m"
"961","FBgn0193358","Scf_2L",0.406824950308825,2.87739605877983e-07,"m"
"962","FBgn0193359","Scf_2L",-0.433661678223701,0.00335439108574467,"f"
"963","FBgn0193399","Scf_2L",-0.954029418468399,4.49707713095783e-18,"f"
"964","FBgn0193435","Scf_2L",-0.276255238016863,0.0430446111356188,"f"
