genes,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBgn0183992,21.018591,23.88307,24.085243,22.489779,20.741009,22.525478,23.093765,21.758202,23.208162,20.723225,23.876385
FBgn0183993,13.95945,15.301434,16.614756,15.373455,17.507118,15.264605,16.187956,16.535648,16.890032,15.787956,17.148672
FBgn0183995,168.262115,158.977814,153.023331,193.760376,180.89679,214.646378,143.554214,141.081909,137.40567,160.694153,155.110809
FBgn0183996,29.312469,38.427906,40.580223,37.941795,35.691414,29.315474,28.01174,23.874207,31.262539,30.451363,32.297775
FBgn0183998,56.377113,62.431858,54.991089,45.769596,42.91468,53.721539,49.693497,52.115814,54.926086,51.646126,41.434628
FBgn0183999,81.927368,94.639359,89.189957,78.205704,84.103516,91.494072,79.369278,85.186241,86.493492,84.795792,91.890419
FBgn0184000,36.04398,39.554806,38.16674,30.341618,31.719082,33.070114,34.869167,37.775429,39.483009,31.733997,31.151047
FBgn0184001,77.42955,80.843536,83.016037,68.47953,71.528778,68.757774,81.295364,80.479614,89.618599,80.805031,81.521866
FBgn0184002,0,0.100777,0,0,0.19374,0.177945,0,0.193359,0.234986,0.145493,0.095202
FBgn0184003,42.122406,49.017036,46.706631,22.530354,24.263954,30.695759,41.296581,46.682331,45.899765,27.628229,27.497555
FBgn0184004,28.769609,29.038734,28.684923,20.201853,20.824568,19.344093,32.511345,29.388699,34.285507,23.087072,21.721338
FBgn0184005,136.52179,134.783127,143.319275,100.779228,95.25135,91.354271,161.206161,145.840958,157.027542,100.015724,107.835548
FBgn0184007,40.838211,45.261108,42.713825,38.045494,37.735905,44.736774,36.703896,40.672791,41.239136,43.196739,39.498486
FBgn0184009,68.015923,78.770973,80.965302,70.248138,70.004646,72.884224,83.040817,80.330566,89.672142,81.557617,88.86026
FBgn0184010,0,0,0,0,0,0,0,0,0,0,0
FBgn0184011,0.228609,0.223137,0.058597,0.444939,0.414294,0,0.270791,0.252066,0.08,0.330582,0.715624
FBgn0184012,1.551929,0.725936,0.776506,5.215658,4.993137,4.291981,2.892145,6.248118,1.035058,4.875492,5.08444
FBgn0184013,4.527987,3.373953,3.36769,1.673349,2.050504,2.135297,3.561716,3.170511,2.618647,3.040714,2.685007
FBgn0184015,0.026544,0.029619,0,0,0,0,0,0,0,0.024724,0
FBgn0184016,0,0,0,0,0,0,0,0,0,0,0
FBgn0184017,0.154958,0.139538,0,0.142892,0.430798,0,0.10707,0.462901,0,0.241017,0.169739
FBgn0184020,59.470787,73.683731,69.551239,62.920082,69.321762,87.778908,57.640968,66.677635,63.387054,72.976028,66.968849
FBgn0184021,0.165926,0.445675,0,0.102995,0.293707,0.441037,0.021707,0.075656,0.170243,0.110885,0.110268
FBgn0184023,33.068169,31.433975,30.437756,24.730946,25.249805,32.838932,27.898701,31.601835,31.667233,24.173157,24.674166
FBgn0184025,9.554075,10.098442,9.254589,7.056886,7.109174,7.27739,6.403805,9.359609,9.353996,4.842966,4.925112
FBgn0184026,0.100869,0,0,0,0.096974,0.055074,0.119588,0.19125,0,0.079082,0
FBgn0184027,38.677189,44.426849,43.831188,27.767555,26.52511,25.483217,46.221489,36.048229,45.29026,30.48074,31.481323
FBgn0184028,100.954506,93.344124,88.120796,92.204674,91.362144,91.71611,70.971352,82.263069,80.715378,89.073654,74.867691
FBgn0184029,62.058762,63.690048,58.647423,66.016182,73.121826,73.870605,58.36216,54.730797,58.331287,78.737991,75.261864
FBgn0184030,64.008812,64.828018,67.644348,47.689648,44.096874,38.190956,63.767139,63.363869,71.238098,49.523643,53.57682
FBgn0184032,47.939468,47.765324,47.170563,40.896873,41.109379,54.392021,42.684361,49.840729,41.852253,45.108974,37.2099
FBgn0184036,21.651442,23.155098,21.314888,22.118734,23.002556,21.840651,18.765539,20.046865,21.618111,21.917664,17.056862
FBgn0184037,9.537588,6.527898,5.47451,11.094975,10.434379,9.80547,7.483014,8.004842,7.866946,9.277227,10.360236
FBgn0184038,61.375801,54.17588,59.889671,64.111771,57.71003,49.172646,64.007889,57.651443,61.811985,57.269165,55.463448
FBgn0184039,110.779305,119.043358,105.858223,107.350288,108.593445,130.775009,116.457787,120.65564,108.027626,128.884705,121.218674
FBgn0184041,32.966911,37.674126,32.144226,30.27763,30.108295,28.994396,34.442501,34.73764,36.285366,30.593199,28.90839
FBgn0184042,14.380329,16.553881,15.592316,12.101619,12.287006,14.730917,13.570798,16.635696,14.993375,11.401601,11.568609
FBgn0184043,0.266745,0.19281,0,0.142819,0,0,0,0.047926,0.03861,0.051933,0
FBgn0184044,19.254372,19.81242,17.741209,10.358331,9.718952,12.220759,15.602404,18.672665,17.236984,11.792186,10.388885
FBgn0184045,144.962189,146.809891,132.133514,111.57946,96.370483,117.683319,113.124626,121.997681,130.154938,124.297585,113.592957
FBgn0184046,0.500869,0,0.750272,0.494609,0,0.855821,0.783693,0.716959,0,0.502224,0.351658
FBgn0184048,84.826363,101.711929,90.878059,64.48967,68.156479,84.739861,78.874344,88.951294,90.954033,76.445091,82.927933
FBgn0184049,1.436452,0.924032,1.177894,1.013619,1.147938,0.199467,1.380125,1.068348,0.895172,0.784471,0.819042
FBgn0184050,0,0.085303,0,0,0.158232,0,0,0,0,0,0
FBgn0184051,2.471203,2.26996,2.345461,2.028541,1.43901,1.253598,2.09007,2.34624,2.230312,1.023296,1.168255
FBgn0184052,49.550125,49.712162,47.01997,41.574917,47.37326,40.996311,48.628075,49.289703,48.007038,42.836025,44.882607
FBgn0184054,1.586963,1.761668,1.706925,2.183868,1.397804,1.376834,1.8675,1.2182,1.27158,1.341765,1.362255
FBgn0184055,36.702988,43.796345,42.355488,23.212065,20.644062,23.329876,34.356213,26.805426,38.490829,23.474812,27.42264
FBgn0184056,57.501598,69.15844,62.476406,56.703007,58.854973,67.083763,63.046707,68.813942,68.822815,73.003624,71.529488
FBgn0184057,59.948635,77.694893,58.12606,34.199841,31.969048,34.78054,56.941063,47.50021,61.391129,36.302437,35.921314
FBgn0184058,20.167597,25.334082,24.370787,21.613916,21.887815,30.506969,19.862478,23.020741,21.827658,24.402815,22.643887
FBgn0184059,75.291412,90.061371,87.1502,79.953476,86.077744,108.996124,60.696072,78.476624,63.809303,85.849663,66.454659
FBgn0184060,3.469359,3.319202,3.170461,1.668384,1.999226,1.009031,2.808164,2.88768,2.664313,1.72646,1.023785
FBgn0184061,0.135083,0.06744,0,0,0.065042,0,0,0,0,0,0
FBgn0184062,0.09495,0.217284,0.15163,0,0.40553,0.333932,0.256938,0.182839,0.06294,0.172207,0.312052
FBgn0184063,2.825521,2.684057,2.471126,58.211864,47.108791,42.969593,2.290323,1.828695,1.578063,63.073318,67.959969
FBgn0184064,117.886795,87.026161,113.404503,213.906708,216.443863,185.181854,125.862297,87.573959,120.679169,208.713928,31.605288
FBgn0184065,13.734061,12.114186,15.363509,41.907669,37.315784,33.141075,14.684357,16.301941,14.140109,40.876072,36.766281
FBgn0184066,5.899005,4.045241,4.338093,1.827878,2.007337,1.758621,5.141833,3.360601,3.67639,2.346902,2.8251
FBgn0184067,62.382404,67.191406,72.286163,59.152225,64.045593,69.261017,60.48196,65.563408,70.851555,64.009705,66.605919
FBgn0184068,24.43696,26.002693,26.794992,24.242853,23.899242,28.712065,25.935244,28.083998,28.046997,28.677565,25.476555
FBgn0184069,0.097534,0,0,1.951094,2.355611,2.021913,0,0.125596,0,1.307157,2.371797
FBgn0184070,0.052032,0.102867,0.040281,0.206417,0.311681,0.762526,0.079864,0.103484,0.037841,0.357903,0.737428
FBgn0184071,0.024495,0.136116,0.091389,0.297437,0.208688,0.263491,0.041946,0.045081,0.029775,0.476861,0.447757
FBgn0184073,29.966028,30.423153,30.474447,29.575174,30.476873,32.002563,27.732725,31.867352,30.58305,31.175419,28.373306
FBgn0184074,3.825639,0,0,0.018963,0,0,0.966219,0,0,0,0
FBgn0184075,15.784477,13.375275,15.987391,24.641109,25.46961,23.597057,18.25563,13.764684,19.151754,32.768429,27.228121
FBgn0184076,7.784556,6.066509,5.293731,4.952161,5.043052,8.487095,6.660832,6.416544,5.176466,7.154306,6.50798
FBgn0184078,11.715604,12.657416,13.32672,12.708465,17.298918,16.013357,9.567539,8.217408,13.277022,11.516526,11.143332
FBgn0184079,8.986986,8.487342,9.405704,3.891974,3.578421,4.838614,6.671029,8.193305,6.415855,3.596694,3.455045
FBgn0184080,0.091115,0,0,0,0,0,0.069577,0.067327,0.073116,0,0
FBgn0184081,0.237446,0,0,0.042874,0,0.020416,0,0,0,0,0
FBgn0184082,2.377228,1.789369,1.773729,3.415448,3.317395,4.788198,1.61029,1.861769,1.602379,3.378262,2.747032
FBgn0184083,0,0.075221,0.027945,0.025676,0,0,0,0,0.073215,0,0.067938
FBgn0184084,1.864942,0.177911,0.053983,0.049766,0.290749,0.053238,0,0.04848,0.403021,0,0.106766
FBgn0184085,25.758778,28.119305,23.653326,16.272436,17.746141,15.986269,19.169804,19.60832,20.490431,15.188737,17.166853
FBgn0184086,4.896113,3.056926,2.526059,3.102735,1.203485,3.569115,3.584012,2.710817,2.080476,3.481666,3.511755
FBgn0184089,28.296349,32.377327,27.444031,42.685551,39.517349,62.053764,23.627428,27.558304,22.183481,39.271317,34.091614
FBgn0184090,138.561829,153.782761,139.426682,165.667435,176.162277,244.7099,119.185684,132.273285,114.574394,165.97377,158.91626
FBgn0184092,7.042148,2.756931,6.290074,4.238304,6.871642,4.319149,3.761197,3.262037,3.709636,3.760947,2.8985
FBgn0184093,20.80097,21.684715,18.542627,16.058954,15.745546,17.279118,18.197622,17.278044,19.603056,18.471249,14.137259
FBgn0184094,2.311035,2.052598,2.345761,0.618578,1.093715,0.524611,2.108016,0.926137,2.042219,0.687822,0.612381
FBgn0184096,0,0,0,0,0,0,0,0,0,0,0
FBgn0184097,1.603676,2.068159,0.550866,0.273067,0.375371,0.398339,2.721602,0.686973,0,0,0
FBgn0184098,7.205973,8.761561,8.860839,7.859952,6.264441,7.047876,9.071003,8.367829,9.990606,7.77479,8.938948
