genes,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBgn0012820,0.401324,0,0,0,0,0,0,0,0,0,0
FBgn0012821,0.941689,0,0,0,0,0,0,0,0,0,0
FBgn0012823,16.056301,0.80199,0.588776,3.716216,1.016518,1.351499,1.333836,0.775723,0.432289,0.604043,0.831306
FBgn0012824,183.247955,234.507294,51.390388,569.273254,4611.602539,4134.255859,53.315487,89.715576,180.698807,281.715424,314.768982
FBgn0012825,1461.500122,1486.220825,1545.748291,2150.955811,2.536235,1.88538,1432.189697,1202.756226,1489.824829,2039.722656,2255.684326
FBgn0012826,19.073303,9.909854,7.149465,2.94381,5.158302,5.006776,20.540133,9.958802,7.81877,5.596071,3.520145
FBgn0012827,5.855823,2.500208,0.807279,3.418936,6.152395,3.53782,5.56725,5.988796,0.914116,3.402352,3.052516
FBgn0012832,47.604065,46.913208,43.161465,28.468319,22.856655,20.61438,66.110077,28.476627,56.889988,28.368092,27.635778
FBgn0012837,350.016022,378.759369,382.774017,341.690765,340.761169,324.393738,392.053772,339.20047,354.176666,351.012726,361.950226
FBgn0012838,299.244049,316.855133,297.952454,331.323944,333.27713,266.110077,313.394165,262.685822,326.500732,260.751282,568.464417
FBgn0012840,1125.18103,680.850098,1154.116089,784.261047,1306.074707,749.64978,1101.072021,846.259277,818.982117,723.785156,884.064514
FBgn0012844,30.011549,8.580667,5.706161,17.336422,19.732901,9.437476,11.489609,17.332279,10.801603,8.271385,12.359246
FBgn0012845,1014.985229,1180.422485,909.360474,1781.011353,1669.430664,1534.839478,856.666931,968.048096,1036.134033,1301.463135,1523.291016
FBgn0012846,15.537271,16.83663,15.630532,12.859848,13.362488,15.671417,11.642698,12.316073,12.311976,11.244611,11.821033
FBgn0012849,22.190994,20.035995,20.404449,14.436,18.847029,13.538273,27.018961,21.405704,26.365948,20.005852,20.694464
FBgn0012851,251.678009,350.523041,316.075897,324.790314,337.824341,468.992157,262.601105,309.764618,229.796722,296.634827,283.180328
FBgn0012854,1211.360107,1109.162842,1159.047607,1289.001709,1305.662598,1091.600342,1327.744995,1185.27478,1279.064209,1239.421143,1372.82251
FBgn0012859,2877.827393,2726.672852,1790.38269,1496.116455,975.025452,1207.175659,22.364384,18.963264,21.898485,8.06476,8.754647
FBgn0012860,4.002523,5.600131,4.237352,4.985793,8.493646,4.757847,8.509466,6.595035,7.448461,8.47219,10.57396
FBgn0012864,0,0,0,0,0,0.040186,0,0,0,0,0
FBgn0012866,6.914097,7.433268,6.00085,6.064807,6.27242,7.791692,5.079492,5.355314,5.501552,6.106717,5.063766
FBgn0012868,0,0.049477,0,0,0.016997,0.107147,0,0,0,0.041224,0.044204
FBgn0012892,0,0.125722,0.090145,0,0,0,0,0.172241,0.100703,0,0
FBgn0012893,0,0.043002,0.115825,0.106714,0.065527,0,0.032996,0,0.034445,0,0.047237
FBgn0012901,124.176247,113.643875,132.010071,123.519806,115.984245,119.369904,106.467155,104.840584,107.141426,83.870155,82.227066
FBgn0012902,0,0,0,0,0,0,0,0,0.155525,0.322111,0.301843
FBgn0012903,0.415465,0.349784,0.554206,0.319721,0.306856,0.381817,0.064811,0.098125,0.379219,0.048544,0.195475
FBgn0012904,51.682911,59.075466,61.494583,54.575817,55.620075,54.747684,54.747364,56.99688,58.035103,52.196365,57.06625
FBgn0013875,0.400758,0.121168,0.134669,0.142521,0.113667,0.128212,0.204933,0.118084,0.088986,0.299803,0.232921
FBgn0013883,264.120728,255.857529,258.072052,283.169647,307.787872,304.083282,252.304153,259.305542,248.910385,264.926788,276.025513
FBgn0013884,11.462058,7.852107,6.317707,6.566567,3.888546,5.153534,7.47056,5.338166,4.97721,4.255016,4.934793
FBgn0014814,0.851283,0.936467,0.367998,0.62701,0.686331,0.850544,0.773957,0.643902,0.455316,0.93799,0.615786
FBgn0014820,0.001167,0.005771,0.003716,0.001952,0.001655,0.002536,0.003184,0.004658,0.00336,0.003332,0.002556
FBgn0015169,0.843413,1.009164,1.015485,0.956962,1.084011,1.208543,1.131256,1.310662,1.419605,1.61818,1.650107
FBgn0015670,32.332348,38.907486,38.21402,35.524807,36.945892,41.281433,33.560745,37.270161,38.735241,45.55492,42.60051
FBgn0015673,1.013361,1.308956,1.258658,1.053784,0.829425,0.940065,1.048856,0.926607,0.779732,0.948553,0.92105
FBgn0016334,320.728394,353.176605,364.786316,344.286987,325.492188,337.417206,326.955017,296.50531,336.862457,339.204895,344.332367
FBgn0016340,0.141177,0.109375,0.121902,0.178144,0,0.11795,0.055764,0.053075,0.029203,0.039149,0
FBgn0016343,191.997253,189.962585,173.902267,166.786453,146.832352,258.520721,86.592262,90.640694,71.355789,98.337082,88.497543
FBgn0016346,11.75947,10.409118,13.490939,5.236804,9.717373,6.957568,11.402011,8.56181,7.847666,6.467542,7.11229
FBgn0016348,42.023743,61.328819,56.500732,40.980545,41.569969,38.83469,63.050613,42.264523,49.501049,47.75761,44.559414
FBgn0016352,5.084209,7.767148,6.7578,6.955823,6.893308,7.756525,5.828697,6.455173,6.660837,5.742626,5.551632
FBgn0016353,3.924651,4.353859,4.497607,2.857898,2.613312,3.152495,4.024159,3.561604,4.744267,3.868375,3.293552
FBgn0016355,0.029959,0.040357,0.022489,0.016117,0,0,0.029676,0,0,0,0.055339
FBgn0018225,14.127634,10.962449,8.694963,9.582479,20.829046,6.294478,10.999479,23.907845,20.687941,10.007811,20.982437
FBgn0018281,64.580856,67.477577,70.911644,70.655548,73.907593,84.862373,63.35498,68.304268,69.077339,77.436707,73.560516
FBgn0018282,0.862718,0.996438,1.671077,0.559538,0.727588,0.804631,0.380225,0.309456,0.429512,0.479786,0.318681
FBgn0018304,0.720396,1.516282,1.471619,0.484967,0.837539,0.978568,1.07632,0.964953,0.965816,0.972539,1.152153
FBgn0018327,82.982079,97.615013,99.36087,98.751915,97.52977,94.752426,102.248413,99.790627,104.434418,103.411606,100.387177
FBgn0020076,26.525257,27.24387,28.089994,23.764706,25.616798,28.283039,21.497387,22.501057,26.498997,29.514523,28.380466
FBgn0020078,5.531594,1.825836,5.652733,0.765198,0.576459,0.490481,9.305313,5.273507,5.303431,0.642983,0.751704
FBgn0020081,6.7144,7.155375,7.335297,6.647887,5.882839,6.513132,6.604204,6.788767,7.766781,6.155501,8.205558
FBgn0020697,0,0,0,0.139372,0,0,0,0,0,0,0
FBgn0020700,168.222153,164.582947,162.563461,128.406372,149.651505,134.698029,176.712601,187.879257,212.765305,150.20665,163.061005
FBgn0021123,50.600491,54.791401,53.111858,38.377281,35.471817,44.103676,43.738983,48.457664,54.853741,42.126545,41.719566
FBgn0021128,0,0.056507,0,0.231598,0,0,0.08296,0.054491,0,0.069388,0
FBgn0021129,1.13993,0,0,0,0,0,0.48857,0,0,0,0
FBgn0022481,307.184418,60.567741,465.035156,134.09903,601.840942,105.972031,174.427017,360.338104,121.595154,309.334229,127.713333
FBgn0022482,586.342468,133.380554,990.040649,194.008118,694.675476,180.382401,374.91272,717.239441,229.55307,381.605591,178.519913
FBgn0022505,50.853012,53.149353,51.222301,53.974728,48.98465,50.380184,53.87476,42.896969,51.953911,42.751625,48.22913
FBgn0022516,225.276779,250.865921,240.399017,219.805344,218.099579,287.498444,216.240891,237.266968,189.680374,230.433578,200.234726
FBgn0022517,2634.672852,2606.909912,2596.482178,2315.39624,2592.025879,2241.286865,2773.434082,2767.37207,2954.070312,2872.672852,2915.207031
FBgn0024395,6.802373,4.832962,4.666307,10.391443,8.740677,9.260945,8.822921,8.118933,8.203629,14.51574,13.556363
FBgn0024396,0.17506,0.130997,0.042698,4.055559,0.764801,0.907326,3.13391,0.233274,3.366771,4.607116,6.73771
FBgn0024778,50.950207,48.551167,55.192459,54.696808,47.346352,51.155685,55.402851,50.23064,56.351028,48.950253,52.070019
FBgn0024781,0,0,0,0,0,0,0,0,0,0,0
FBgn0025027,0,0.05361,0,0.898512,0.886547,0.481965,0,0.042873,0,1.05295,0.419134
FBgn0025029,68.976913,78.906418,77.353302,75.996986,73.652603,95.005386,57.572811,70.486832,65.463936,81.478867,71.80999
FBgn0025030,48.361229,62.691628,56.956303,61.491486,50.174812,103.100998,56.807972,59.244888,56.187695,52.097343,62.541267
FBgn0025031,16.70088,18.546886,18.386557,13.276054,13.55372,14.766111,13.685487,15.258471,15.290689,13.751243,13.541539
FBgn0025032,0,0,0,0,0.049869,0,0,0,0,0,0
FBgn0025033,48.691166,44.083515,40.614677,54.489151,51.184238,80.846657,38.739143,41.870502,33.956783,50.013611,46.931286
FBgn0025034,634.02124,602.054626,609.533813,653.891724,678.769348,548.527466,691.229431,624.163635,682.376038,581.068726,689.136597
FBgn0025035,30.849874,36.470352,35.192345,32.221363,34.712879,47.777431,28.844557,32.901962,31.914099,35.183319,31.29073
FBgn0025036,5.567117,4.461677,4.763399,4.555628,2.828223,2.948122,5.141667,3.094458,3.678366,3.335913,2.76202
FBgn0025037,1.007506,0.19787,0.077077,0.941928,0.412963,1.027377,0.28822,0.276418,0.364906,1.090352,0.5672
FBgn0025038,1.637413,0,0.53202,0.121526,1.00422,0,0.697519,0.158908,0.166722,0,0
FBgn0025039,31.655893,3.269461,0.769332,0.606816,4.551306,0.783151,4.782791,4.126866,1.299233,0.765947,0
FBgn0025042,69.628189,64.321091,67.922005,70.989006,75.103615,59.79702,75.536255,64.902191,72.445679,66.903603,73.121559
FBgn0025043,0,0.075863,0.028184,0,0,0,0,0,0.025757,0,0.038568
FBgn0025409,0.083035,0.207829,0,0.042594,0,0,0.030426,0.124479,0.03265,0.088879,0.045689
FBgn0025411,2.511189,0,0,0,0,0,0.580751,0,0,0,0
FBgn0025651,55.623962,53.951668,57.413227,55.882401,52.318676,52.240108,56.47168,54.698139,58.274906,55.177624,52.754642
FBgn0027417,10.879116,11.613727,12.841274,8.205723,9.047173,10.554174,10.293143,10.519156,13.107857,8.993608,8.563967
FBgn0027418,0,0,0,0,0.085028,0,0,0,0,0,0
FBgn0027801,22.591074,24.740492,22.122858,18.830475,16.898142,19.578602,22.555964,21.412804,25.43269,18.890373,17.235634
FBgn0027802,69.331223,74.552689,69.83329,62.685783,69.088539,71.571259,59.642284,68.121872,68.917099,73.25338,68.537331
FBgn0027803,879.01416,772.200073,746.479797,696.77478,731.210938,668.889771,821.160461,705.29718,713.493958,767.142944,767.764587
FBgn0027804,0.168083,0.468301,0.539597,0.189348,0.272647,0.240768,0.22541,0.24093,0.11222,0.67341,0.230418
FBgn0027806,0.228304,0.51309,0.22552,0.293085,0.316003,0.403315,0.557335,0.301544,0.592254,0.842241,0.563892
FBgn0028445,20.513302,19.744089,17.287697,28.606192,25.538225,21.124119,20.800627,17.452156,22.487415,18.270908,21.077066
FBgn0028446,100.957611,110.049988,107.134567,106.722443,103.238869,98.621277,113.412231,112.988808,119.50666,106.628181,109.428459
FBgn0028769,78.561096,81.000519,75.705032,66.243584,68.944756,81.738815,71.855919,77.387589,79.806038,68.058815,68.455544
FBgn0028770,6.601724,5.777754,7.1361,3.125501,5.48718,3.320938,4.710851,5.998611,5.652122,6.636697,7.033767
FBgn0029243,975.132324,900.494324,971.634399,1130.276733,1252.734253,1030.084229,998.727478,993.269714,975.980225,945.661682,1015.241943
FBgn0029245,24.500446,23.604206,22.563223,21.238909,31.149364,19.835676,29.006609,23.325115,19.636539,20.109783,26.371098
FBgn0029246,162.254669,173.591766,170.613693,159.804276,173.474121,176.099335,150.584885,171.599136,172.663361,175.208069,164.496475
FBgn0029247,56.883869,56.62291,51.867355,50.671299,52.211193,52.081226,47.092808,52.338657,53.561832,54.836521,53.596992
FBgn0029248,145.072205,149.139175,154.000854,158.688293,152.985107,174.968506,149.261108,141.713104,147.861801,167.716644,156.818787
FBgn0040413,0,0,0,0,0.126103,0.289366,0.938772,0,0.232739,0.142295,0.083662
FBgn0040418,1440.797974,1232.871216,1344.725342,1631.660645,1657.479004,1386.354004,1419.158569,1467.806519,1365.953247,1213.879761,1401.255371
FBgn0041268,4.992045,3.987156,4.680413,5.992359,4.318243,4.628767,4.177175,5.198875,4.775358,6.024318,3.190771
FBgn0041270,22.620962,23.932545,23.748377,21.135433,19.30619,24.545288,18.759714,19.165134,19.316803,17.653109,17.598774
FBgn0041655,2.397808,2.333524,3.317366,0.541052,0.961816,0.742698,2.39891,1.997452,2.497645,0.709805,0.502965
FBgn0041656,173.521194,149.229919,159.31665,163.238495,167.509567,161.73616,168.32869,158.715439,168.506805,152.048828,156.285248
FBgn0041657,8.12481,12.567665,9.903384,8.489849,7.881155,9.846614,9.689715,8.370109,11.24287,9.685783,10.127388
FBgn0041658,13.786102,13.747231,13.779905,13.159221,10.233982,11.361047,14.533692,13.125194,13.099613,12.378824,13.114151
FBgn0041659,0.297318,0.196524,0.181768,0.232883,0.227127,0.400725,0.384138,0.517364,0.476889,0.515385,0.641338
FBgn0041661,50.325787,56.861786,57.608299,46.255688,47.404045,51.817333,47.372044,52.271545,51.98991,45.945171,44.325645
FBgn0041662,7.713964,8.876566,9.659977,9.431744,7.881176,9.815844,8.34219,8.360762,7.904284,10.332031,10.447966
FBgn0041663,1.249333,1.901312,1.827659,2.010186,1.470217,1.93899,1.810394,2.342188,2.370853,2.928679,2.281449
FBgn0041664,52.127693,57.820782,59.936642,53.567268,55.682503,70.479454,50.010178,54.910942,58.135956,61.896214,62.53051
FBgn0041665,34.519985,37.428699,37.169781,40.048157,45.929234,46.78661,31.945892,34.771881,32.216251,40.85088,36.645313
FBgn0041666,667.647888,669.394287,644.563843,467.171478,464.632935,484.192169,486.121124,457.677856,474.031952,464.224701,506.867401
FBgn0041667,48.626423,46.115849,44.010979,48.150093,54.213188,48.241978,56.792343,47.223125,55.058022,49.353168,52.590538
FBgn0041668,48.706413,56.787518,55.528923,53.987984,53.330441,53.684845,53.031853,51.519226,52.824028,54.879578,55.131844
FBgn0041669,934.922363,832.930176,965.948914,1170.024414,1417.53418,1152.212402,1031.792236,905.795654,976.020447,1139.148804,1270.183105
FBgn0041670,62.907738,76.313911,69.276688,61.165806,66.67765,78.79747,60.333046,67.362762,70.381577,72.612778,73.204475
FBgn0041673,258.000763,271.22876,262.658997,271.31662,258.257996,250.80452,294.045288,277.265472,300.421173,282.977448,294.021362
FBgn0041892,2.793236,1.821281,1.831748,2.563579,1.89267,2.379309,3.829035,3.544736,4.460839,3.688633,4.66862
FBgn0041931,0.143694,0,0,0.060966,0,0,0.125387,0,0.047608,0,0
FBgn0042853,617.047485,131.857529,953.741821,193.984039,700.022766,180.930557,357.256622,693.529419,216.716324,394.81723,186.88681
FBgn0042854,690.318848,125.740074,1064.924561,179.479126,729.639343,163.388641,380.19635,750.545227,244.924622,404.220673,168.308136
FBgn0042855,0.326877,0,0,0,0,0,0,0,0,0,0
FBgn0042856,0.057478,0,0.028286,0,0,0,0.158449,0,0,0,0
FBgn0042857,11.145673,11.464248,10.20283,16.351425,17.864138,18.603285,13.566169,13.477205,13.11473,19.767046,21.802282
FBgn0042858,31.226028,31.453796,30.917917,28.403976,28.992733,29.612776,29.786749,32.42831,32.410965,30.950171,29.312469
FBgn0042859,0.443617,1.08059,0.613089,0.862178,0.958793,0.589654,2.196351,2.329906,2.477098,3.072353,2.534389
FBgn0042860,0,0,0,0,0,0,0,0,0,0,0
FBgn0042861,0.440132,0.190915,0,0.111663,0.020537,0,0.145648,0,0,0.117877,0
FBgn0042864,0,0,0,0,0,0,0,0,0,0,0
FBgn0043394,1.284284,1.489653,1.527724,2.203277,1.8983,2.807796,1.058292,1.160099,1.738371,2.573032,2.46334
FBgn0043395,108.282379,116.179146,115.821167,96.677338,96.024689,133.182327,54.580513,56.459732,56.981525,52.434776,57.779663
FBgn0043398,0.135628,0,0,0,0,0,0,0,0,0,0
FBgn0043399,3.221608,2.527137,1.482379,2.230942,0.105968,2.482027,2.1624,0.978173,1.086467,1.505972,1.991046
FBgn0043400,0.719499,0.187952,0,0.186455,0.188821,0,0.336011,0,0,0,0
FBgn0043401,2.305616,1.533003,1.964924,0.100257,0.45818,0.304165,1.644971,1.328198,1.114074,0.465765,0.137578
FBgn0043403,0,0.088184,0,0.087828,0.090964,0,0,0,0,0,0
FBgn0043621,3.605788,0,0,0,0,0,0,0.129479,0,0,0
FBgn0044187,0.080154,0.592143,0.247964,0.085024,0.521177,0.199644,0.216982,0.296703,0.508306,0.129432,0.534416
FBgn0044189,1.602839,1.689322,1.670328,1.115857,1.964412,2.138771,1.25767,2.008683,2.020808,0.796386,2.156125
FBgn0044191,45.33522,51.30571,53.151913,47.777935,47.486576,42.020805,46.004276,50.07798,48.470642,35.443974,30.789379
FBgn0044193,0,0.147156,0,0.029295,0,0,0,0.002886,0,0,0
FBgn0044194,0.493251,0.487659,0.101294,0.134331,0.304455,0.681337,0.36194,0.307808,0.48229,0.379735,0.653747
FBgn0044195,7.37476,6.237088,5.794298,2.56983,1.624852,1.344465,5.88528,3.612839,5.249924,1.576702,1.341351
FBgn0044199,221.682648,227.652969,220.731903,168.604889,179.630783,152.504623,217.798874,190.18605,212.913071,154.196411,168.746017
FBgn0044200,22.162619,12.295828,11.91611,12.603865,13.120063,8.997652,14.429975,9.196491,6.571876,7.584037,7.945503
FBgn0045530,7.767316,6.385232,5.781404,5.625689,6.28426,10.285682,6.649319,6.117537,7.382361,8.335695,6.3107
FBgn0045541,665.701355,711.999512,722.375,702.360291,744.309021,710.019958,802.106567,774.889771,817.438965,788.260437,830.482483
FBgn0045545,24.098059,25.57902,29.230885,30.187061,31.187321,28.275459,30.162252,30.026239,28.743778,27.796112,32.920605
FBgn0045558,102.14888,100.799637,100.208748,71.97966,70.852882,77.365135,87.100739,93.143784,97.245956,76.480492,73.450066
FBgn0045567,43.384323,47.010475,43.962151,44.711586,43.335636,47.685677,43.206421,44.73624,48.012691,46.537167,46.771946
FBgn0045574,0.083762,0,0.077809,0,0,0,0,0,0,0,0
FBgn0045586,24.374834,28.400627,22.374567,25.159384,25.695778,22.864817,27.100779,26.860065,27.761786,23.756025,26.049694
FBgn0045589,0,0,0,0,0,0,0,0.059671,0,0,0
FBgn0045603,0.965466,0.249404,0.069666,0.189637,0,0,0.123745,0.141477,0.034046,0,0
FBgn0045604,0.166982,0,0,0,0,0,0.054921,0,0,0,0
FBgn0045605,0.170189,0,0,0,0,0,0.069242,0,0,0,0
FBgn0045611,76.6642,80.858246,79.778564,78.544052,80.402382,72.711639,85.41082,86.488342,88.41394,83.237381,87.270164
FBgn0045613,19.021843,13.340427,11.476543,10.587195,10.837811,13.326139,16.933908,7.787712,9.035998,17.718466,10.921846
FBgn0045627,0.097094,0.060903,0,0.11125,0.034766,0.23802,0.060373,0.049262,0.039554,0.202933,0.183704
FBgn0045629,0.38239,0.600642,0.375537,0.478683,0.441656,0.319472,0.645011,0.257073,0.334165,0.461591,0.357641
FBgn0045644,0.825375,0,0,0,0,0,0.111812,0,0.19456,0,0
FBgn0045657,0,0,0.258081,0,0,0,0,0.19389,0.076909,0,0.086168
FBgn0045660,0.701256,1.438562,2.393834,2.343482,3.506905,2.589666,1.793158,0.907581,0.846268,2.966929,3.187101
FBgn0046909,24.336203,22.782358,23.75354,23.265612,23.468334,19.066704,21.192436,22.78557,25.023746,23.356462,23.039175
FBgn0046913,185.716827,206.12207,173.925079,130.484253,120.874313,142.908447,172.893005,161.936798,151.204239,132.981934,134.800644
FBgn0046914,187.433182,187.113266,179.465271,189.102524,192.622589,183.118134,159.352158,188.416595,145.2715,191.370605,153.044128
FBgn0046915,8.135567,0.351326,0.78313,0.239848,1.694166,0.277106,2.191684,0,0.322685,0,0.618759
FBgn0046916,19.086618,1.460133,3.383041,0.735053,7.865591,2.746019,6.242174,2.458151,1.984149,0.952204,1.612233
FBgn0046917,34.124111,3.731765,4.967876,0.682317,1.918886,0.82721,9.186139,2.183647,1.612038,0.71528,1.01141
FBgn0046918,31.613535,3.270049,5.338025,0.888286,4.364208,1.476297,8.522513,4.380301,3.140243,1.10615,1.361779
FBgn0046919,3.637582,2.428864,1.567602,2.001366,1.313189,1.231598,2.478672,3.036612,2.017382,2.039776,2.056169
FBgn0061237,103.42112,82.789825,80.380745,102.506256,97.262695,129.568024,79.274841,88.622612,64.954025,111.783424,96.139061
FBgn0061239,75.205948,69.409615,62.653294,59.740685,61.297878,64.63456,62.580875,67.833916,71.778694,62.306465,61.182674
FBgn0061243,11.943449,13.468544,13.18649,12.967896,13.837988,15.321679,12.394151,14.708158,13.800382,14.959172,12.719194
FBgn0062291,17.67729,18.39958,15.269199,16.210485,15.77864,15.250909,16.160627,18.381289,17.613976,17.790173,17.154196
FBgn0063982,36.896793,40.746674,40.903534,41.618523,41.921898,46.642487,39.060513,40.437073,41.35672,43.731354,42.863411
FBgn0063983,42.292274,47.68565,43.708427,44.577785,47.224113,48.423923,45.235962,44.27774,47.830845,45.90052,48.550266
FBgn0063984,79.344353,80.791809,78.040901,73.062675,74.411133,82.413719,61.636951,70.625175,67.544502,75.669189,68.007385
FBgn0063988,0.087562,0,0,0,0,0,0,0.090087,0,0,0.28034
FBgn0063990,21.0438,23.994383,20.802599,19.368904,18.145832,17.262915,17.910337,15.597708,17.398397,18.861734,19.021435
FBgn0063991,70.451164,76.617828,76.702835,66.238747,65.714546,77.579964,67.057236,67.547249,75.927132,67.66629,72.211617
FBgn0063992,0.400821,0.410418,0.12288,0.301688,1.191864,0.249256,0.419542,0.702336,0.396744,0.246719,0.668162
FBgn0063993,22.95929,26.675888,30.396328,10.401834,11.473908,11.413317,30.590162,28.465155,29.511488,33.247356,31.761349
FBgn0063994,83.555275,96.940804,103.143463,92.689499,96.695351,87.22522,97.529716,89.253647,98.316528,91.679222,91.058075
FBgn0063995,0.119583,0,0.036099,0,0,0,0.106746,0,0.255186,0,0
FBgn0063996,2.671389,1.611768,1.956325,0.145819,0.201085,0,2.913622,2.442565,2.037755,0,0.158785
FBgn0063997,171.681747,180.035553,194.666061,146.948425,151.420425,144.285156,175.51828,178.62674,192.81572,138.534256,146.095139
FBgn0064354,0.259642,0.452569,0.511101,0.209591,0.066953,0.191582,0.427993,0.507837,0.458215,0.205464,0.352092
FBgn0064355,0.216699,0.08083,0.269643,0,0,0.090685,0.742135,0.527463,0.165657,0.417713,0.411979
FBgn0064356,132.608292,134.094925,131.001373,114.406342,115.953011,119.777855,120.834145,120.616119,135.200562,131.078522,130.206894
FBgn0064360,1642.683716,1470.614258,1506.293579,1703.599854,1682.31604,1404.734375,1778.324097,1682.405518,1639.646729,1661.44043,1803.32373
FBgn0064364,293.191345,231.879456,267.608765,212.595001,234.146698,196.317627,299.921387,260.333984,266.776062,175.449295,218.332336
FBgn0064367,181.750046,88.723686,91.080704,56.233677,35.099045,58.043461,146.808502,102.870384,75.305252,48.765156,58.888641
FBgn0066160,29.102158,31.22687,28.992411,30.518509,30.804695,33.955509,27.998253,28.951267,30.233755,32.526695,32.201523
FBgn0066161,58.950054,0,0.830552,9.83982,5.952631,7.19852,9.969249,9.807501,1.59494,7.225886,7.168873
FBgn0066162,98.725456,97.716393,94.382263,95.172295,101.022141,102.105789,84.680008,93.336594,94.824463,100.371933,98.585846
FBgn0066163,86.40612,69.793556,79.529022,72.206367,98.634521,74.006706,82.456146,69.499611,76.260094,69.546021,77.51104
FBgn0066164,9.74706,10.364471,10.361408,9.589268,10.075289,10.641986,10.192105,10.590353,11.814185,10.702004,11.262933
FBgn0066165,39.045658,0.320771,0.514888,0,0.166097,0.449752,1.238814,0.924975,0.795,0.262056,0
FBgn0066166,428.951324,266.010406,504.743134,310.930115,482.024261,314.952179,309.058105,328.898743,269.613861,272.581818,313.395752
FBgn0066167,6.618576,0.413579,0.705778,1.189332,1.889085,1.111866,0.765275,0.741289,1.152946,1.433915,1.365887
FBgn0066168,118.664856,122.314468,114.250587,111.165497,122.3209,113.874489,94.084435,107.215347,100.226906,118.205505,103.495239
FBgn0066169,125.949234,104.426666,112.544037,114.499794,112.195389,106.558632,109.531631,109.418495,112.872009,121.149345,113.47686
FBgn0066170,110.250954,126.174538,119.986343,108.693985,110.324097,118.046936,116.403397,115.246117,123.920174,129.046112,131.768677
FBgn0067157,57.125549,61.63068,59.745697,49.305687,49.770393,48.019699,57.299953,58.844578,61.843681,49.267479,51.62146
FBgn0067158,0,0.443073,0.468465,1.207531,0,0.621257,0.622187,0.919126,1.103314,1.084867,0.931754
FBgn0067172,1170.446411,981.439758,1059.169678,1237.19165,1087.413452,1044.544434,1497.743286,1315.877441,1394.486816,1301.736328,1521.208984
FBgn0067177,684.996216,633.480286,674.54071,718.553711,727.110901,630.717285,842.730957,775.919983,806.072021,727.527283,781.55957
FBgn0067487,40.680523,43.320015,42.575027,36.616829,38.483475,39.943466,41.79771,40.97974,42.068821,40.514191,42.551884
FBgn0067488,5.756319,4.759516,5.069228,4.793804,6.14115,4.780969,6.141441,3.725397,3.100385,3.671561,4.120906
FBgn0067492,169.290283,177.17067,163.072769,142.874176,137.60939,140.355072,125.767578,155.907608,120.806938,150.832016,113.304314
FBgn0067493,128.559631,129.495087,118.871994,216.324402,188.083969,403.800171,119.424896,120.047211,125.849953,209.009354,216.354874
FBgn0067495,217.222916,229.501831,176.625748,84.05484,94.569092,82.183105,193.940323,188.358353,191.795898,72.063278,63.251141
FBgn0067496,82.305641,86.447716,85.348351,76.531158,81.917992,78.387756,72.675934,81.678642,84.295891,83.679665,85.568665
FBgn0067497,3.851722,3.781536,3.259452,2.481976,2.008905,2.173775,2.908629,2.00562,3.333889,2.391313,2.497989
FBgn0067498,27.819601,26.226431,28.12623,29.095167,26.596758,25.24818,30.908051,30.52536,29.864077,29.469139,30.22443
FBgn0067500,6.119976,7.468158,4.532364,4.104189,4.812923,7.171163,7.613918,4.186893,3.210118,2.824076,6.325457
FBgn0067503,75.219246,78.28569,69.031448,69.529465,79.034348,74.583168,72.09951,76.351768,73.039413,69.86319,78.268646
FBgn0067504,0.883442,1.025602,0.862965,1.180831,1.690337,0.591114,0.821469,1.436877,0.86558,0.707672,1.133582
FBgn0067505,0,0.488158,0.452869,0,0,0,0.939819,0.681517,1.056984,0,0.492722
FBgn0067508,76.44001,37.57132,75.694977,27.217781,35.393803,28.687012,56.020733,59.264565,34.553482,21.982191,31.27219
FBgn0067509,0,0,0,0,0,0.022948,0.015053,0.037531,0.031931,0.022645,0.069263
FBgn0067510,58.732464,64.332924,65.120514,62.675739,61.982887,65.579994,57.300327,59.742085,60.843704,60.591698,62.807083
FBgn0067513,107.723244,124.249611,121.094612,117.290588,127.05172,162.585159,94.576141,110.469414,107.580101,147.039536,144.909424
FBgn0067514,3.849029,0.590105,1.243811,1.338462,1.354594,1.022484,2.024825,1.516718,1.180853,1.753667,1.236676
FBgn0067515,0,0,0.293386,0,0,0,0.048354,0,0,0.1118,0
FBgn0067516,3.132159,1.498355,2.00767,2.905245,3.039642,1.893394,2.654456,2.058205,0.864652,1.189614,1.442924
FBgn0067517,21.345163,20.221672,23.777361,25.548922,28.465334,19.688107,25.558052,23.470695,27.191992,31.609282,28.446255
FBgn0067519,55.720493,61.119415,54.727501,57.525169,52.810234,54.105412,55.131866,53.555237,62.194592,60.56422,57.718903
FBgn0067520,0,0.300632,0.16982,0.289073,0.282887,0,0,0.10008,0,0.323539,0
FBgn0067521,235.627899,50.906631,230.484741,41.12162,282.832367,36.332283,186.247437,251.859497,110.241875,81.103348,48.776901
FBgn0067523,7.667989,8.555583,7.227266,5.783857,5.469455,3.637103,7.041338,5.718079,6.214448,5.181431,4.307429
FBgn0067524,24.972071,25.74943,20.911177,22.989946,21.397837,20.788471,22.506516,20.699396,21.032961,22.473043,19.991823
