exp species strains
-0.700071074422235 Dmel R307
-0.286897063132037 Dmel R307
-0.261544133903299 Dmel R307
-0.119381929691046 Dmel R357
-0.861092502032004 Dmel R357
0.0674241280391534 Dmel R357
-0.417782431962225 Dmel R399
-0.349287289010072 Dmel R399
-0.299203579931344 Dmel R399
0.021261070943893 Dmel R517
-0.307933922845978 Dmel R517
-0.651206065510785 Dmel R517
0.419509257508344 Dmel R304
0.205359843034353 Dmel R304
0.186383372287121 Dmel R304
-0.276904140201447 Dmel R360
-0.364487953424871 Dmel R360
0.0273785320760357 Dyak Ta18
0.07971831956503 Dyak Ta18
-0.146065620640459 Dyak Ta18
-0.26606460906389 Dyak CY07
-0.141724721133113 Dyak CY07
0.0263945717553246 Dyak CY07
0.639513936875948 Dsim w501
0.695750999386808 Dsim w501
0.569558254986828 Dsim w501
0.868997528520776 Dsim FA03
0.985445286028887 Dsim FA03
0.656951935896308 Dsim FA03
