exp species strains
-0.307961191208416 Dmel R307
-0.159662754711942 Dmel R307
0.0218053251187223 Dmel R307
-0.521045403586902 Dmel R357
0.0925169189152728 Dmel R357
0.147390430189552 Dmel R357
-0.181195495912154 Dmel R399
-0.0925333740025828 Dmel R399
0.287894675220093 Dmel R399
-0.570899437064805 Dmel R517
-0.230500834388543 Dmel R517
-0.13188530432031 Dmel R517
-0.97839297722267 Dmel R304
-0.650549908681402 Dmel R304
-0.350523061204561 Dmel R304
-0.839495122985486 Dmel R360
-0.566465208480039 Dmel R360
0.225065343485072 Dyak Ta18
0.31402882727611 Dyak Ta18
0.119741942026466 Dyak Ta18
0.374581098796627 Dyak CY07
0.349149613380133 Dyak CY07
0.488936722129352 Dyak CY07
0.590467100680727 Dsim w501
0.745388974153213 Dsim w501
0.530228910967793 Dsim w501
0.226743525353934 Dsim FA03
0.597919955112165 Dsim FA03
0.469250710964564 Dsim FA03
