exp species strains
0.0621110037950026 Dmel R307
-0.0119952993101331 Dmel R307
-0.219417468393506 Dmel R307
-0.289048148941034 Dmel R357
-0.135879732815356 Dmel R357
-0.110976992699002 Dmel R357
-0.330131562098141 Dmel R399
-0.271006459073306 Dmel R399
-0.198307896917186 Dmel R399
-0.223549344974865 Dmel R517
-0.302332031720892 Dmel R517
-0.457239841337483 Dmel R517
0.173707864351763 Dmel R304
-0.346783994912678 Dmel R304
-0.191344687196115 Dmel R304
-0.832805923507948 Dmel R360
-0.871294989035322 Dmel R360
0.292743107173971 Dyak Ta18
0.353569022033286 Dyak Ta18
-0.00686145176459095 Dyak Ta18
0.342093725977922 Dyak CY07
0.225704757375861 Dyak CY07
0.324638077742496 Dyak CY07
0.535165967576081 Dsim w501
0.770599641652363 Dsim w501
0.714579270944717 Dsim w501
0.491596405774643 Dsim FA03
0.43910285157331 Dsim FA03
0.073364128726168 Dsim FA03
