exp species strains
0.123858792315003 Dmel R307
-1.17208697678961 Dmel R307
-0.566326269619808 Dmel R307
-0.224747904164565 Dmel R357
-0.337630388040123 Dmel R357
-0.614523344575122 Dmel R357
-0.491593442657224 Dmel R399
-1.15772974867655 Dmel R399
-0.0205197300217642 Dmel R399
-0.771128412723827 Dmel R517
-0.54036684450312 Dmel R517
-0.442512545635647 Dmel R517
-0.109252076392719 Dmel R304
-0.1409696830274 Dmel R304
-0.520824580255375 Dmel R304
-0.267293646117117 Dmel R360
-1.88328572884903 Dmel R360
0.36329685397981 Dyak Ta18
0.656295736261169 Dyak Ta18
0.438545047660218 Dyak Ta18
1.4052992039257 Dyak CY07
0.408328897962095 Dyak CY07
0.715859300120285 Dyak CY07
1.04728761956278 Dsim w501
1.46549815877631 Dsim w501
1.13955334352793 Dsim w501
0.573952312602553 Dsim FA03
0.125722848867965 Dsim FA03
0.797293206487188 Dsim FA03
