exp species strains
0.56078347517868 Dmel R307
-0.257534215376406 Dmel R307
0.618181829271541 Dmel R307
0.0193651413677584 Dmel R357
1.01406725445191 Dmel R357
0.621188255039608 Dmel R357
0.373177677000584 Dmel R399
0.00841801073986469 Dmel R399
-0.00138330493586437 Dmel R399
0.542700400200903 Dmel R517
0.716470132551475 Dmel R517
0.904688054247165 Dmel R517
0.208385463966711 Dmel R304
0.467845254095807 Dmel R304
0.413905396924759 Dmel R304
0.737424190296075 Dmel R360
1.1245818015205 Dmel R360
-1.35988505499953 Dyak Ta18
-0.811865792354646 Dyak Ta18
-0.942793985288468 Dyak Ta18
-0.613776180429604 Dyak CY07
-0.935632757569308 Dyak CY07
-0.888499926004336 Dyak CY07
-0.326664071211804 Dsim w501
-0.446278030495576 Dsim w501
-0.638421394075623 Dsim w501
-0.448617158145705 Dsim FA03
-0.268937137956496 Dsim FA03
-0.390893328009987 Dsim FA03
