exp species strains
1.66448118985909 Dmel R307
1.17665856022569 Dmel R307
-2.78827596762957 Dmel R307
1.51694665806647 Dmel R357
2.31022181366347 Dmel R357
1.55971736192077 Dmel R357
-2.78827596762957 Dmel R399
-2.78827596762957 Dmel R399
-2.78827596762957 Dmel R399
1.15363574064266 Dmel R517
0.612904719603007 Dmel R517
0.806750324406771 Dmel R517
-2.78827596762957 Dmel R304
1.97776606721096 Dmel R304
-2.78827596762957 Dmel R304
1.0808423444074 Dmel R360
-2.78827596762957 Dmel R360
-2.78827596762957 Dyak Ta18
1.92696086096427 Dyak Ta18
1.62699718784557 Dyak Ta18
1.71967526631544 Dyak CY07
-2.78827596762957 Dyak CY07
1.44460339948068 Dyak CY07
2.24624248799224 Dsim w501
-2.78827596762957 Dsim w501
1.45067818640091 Dsim w501
1.33091354689758 Dsim FA03
2.30137970269007 Dsim FA03
-0.0246157422973496 Dsim FA03
