exp species strains
-0.207236050844189 Dmel R307
0.646673375438646 Dmel R307
-0.692953005473861 Dmel R307
0.0786615409997131 Dmel R357
-0.599316431324266 Dmel R357
-1.12319450619664 Dmel R357
-0.123937606779994 Dmel R399
-0.121190691019797 Dmel R399
-0.199056241131203 Dmel R399
-0.314476627885685 Dmel R517
-0.475297339154008 Dmel R517
-0.572112387876279 Dmel R517
0.00392135875743241 Dmel R304
-1.17799922284419 Dmel R304
-0.77904667835888 Dmel R304
-0.793660748752896 Dmel R360
-1.3839480845484 Dmel R360
0.130132011632344 Dyak Ta18
0.285856723868384 Dyak Ta18
0.335662583826937 Dyak Ta18
1.54992875647509 Dyak CY07
1.15356991118873 Dyak CY07
1.05378209853951 Dyak CY07
0.3982665285809 Dsim w501
0.337703162535921 Dsim w501
0.196012404487595 Dsim w501
0.865246794693161 Dsim FA03
1.03653858115179 Dsim FA03
0.491469790014136 Dsim FA03
