exp species strains
0.931098880906493 Dmel R307
0.774356965584185 Dmel R307
0.240547634631916 Dmel R307
0.328638900129359 Dmel R357
0.44673521225809 Dmel R357
0.694500559983478 Dmel R357
0.704035635195458 Dmel R399
0.86516047280002 Dmel R399
0.378736427937406 Dmel R399
0.236399506416518 Dmel R517
0.123620199699384 Dmel R517
-0.0968890014534945 Dmel R517
-2.97775762462831 Dmel R304
-2.59341014940655 Dmel R304
-2.9208886931096 Dmel R304
0.370398658785591 Dmel R360
0.195622430240468 Dmel R360
1.0546896565237 Dyak Ta18
0.63978930690519 Dyak Ta18
0.848728609562052 Dyak Ta18
0.733795228775805 Dyak CY07
-0.187903444896729 Dyak CY07
0.131809110893713 Dyak CY07
-0.133721337763 Dsim w501
-0.187126575710336 Dsim w501
0.103520990714808 Dsim w501
0.0736756971424768 Dsim FA03
-0.325633187024733 Dsim FA03
-0.452530071093347 Dsim FA03
