exp species strains
-0.659852145517053 Dmel R307
-0.842732372200931 Dmel R307
-0.0669878862289494 Dmel R307
-0.636873916835634 Dmel R357
-0.352863181265302 Dmel R357
-0.0578164445957657 Dmel R357
0.485209393035929 Dmel R399
0.374547526863678 Dmel R399
0.67813433606005 Dmel R399
-0.0505958916104721 Dmel R517
0.0578759860528325 Dmel R517
0.206624353712083 Dmel R517
-1.19947127152721 Dmel R304
-0.83210992832116 Dmel R304
-0.240092075223316 Dmel R304
-1.30521754801371 Dmel R360
-0.415942155553997 Dmel R360
0.145490094608215 Dyak Ta18
0.484080813676234 Dyak Ta18
0.306522194649883 Dyak Ta18
0.396346046414764 Dyak CY07
0.826662381651138 Dyak CY07
1.01554903510357 Dyak CY07
0.153421853145571 Dsim w501
0.194808582719947 Dsim w501
0.254213226227025 Dsim w501
0.270721155541033 Dsim FA03
0.236432393224526 Dsim FA03
0.573915444207041 Dsim FA03
