exp species strains
0.504740606782198 Dmel R307
0.153814743660625 Dmel R307
-0.151594448879332 Dmel R307
-0.0277528934010845 Dmel R357
-0.189538144492782 Dmel R357
-0.353203542676625 Dmel R357
-0.30659970684486 Dmel R399
-0.528813625785205 Dmel R399
-0.641627943231479 Dmel R399
-0.68184409509013 Dmel R517
-0.854186746071603 Dmel R517
-0.767298084179177 Dmel R517
-0.0801177352227411 Dmel R304
-0.186917911507277 Dmel R304
-0.213389790438217 Dmel R304
-0.452217570823167 Dmel R360
-0.841657250247422 Dmel R360
0.520075243484414 Dyak Ta18
0.652830643185967 Dyak Ta18
0.662714682792572 Dyak Ta18
0.53656389740156 Dyak CY07
0.440445047883936 Dyak CY07
0.564049400931269 Dyak CY07
0.953575703084692 Dsim w501
0.814840032079104 Dsim w501
0.567990442634831 Dsim w501
-0.121078348685342 Dsim FA03
0.234460228236093 Dsim FA03
-0.208262834580803 Dsim FA03
