exp species strains
-2.20539951145438 Dmel R307
0.967830395854198 Dmel R307
1.26029998010193 Dmel R307
1.05159641210472 Dmel R357
0.00984961840903162 Dmel R357
0.561130769156092 Dmel R357
-2.20539951145438 Dmel R399
0.476552911052108 Dmel R399
-2.20539951145438 Dmel R399
1.45561363031096 Dmel R517
0.953163302418699 Dmel R517
-2.20539951145438 Dmel R517
-2.20539951145438 Dmel R304
-2.20539951145438 Dmel R304
0.975060500024346 Dmel R304
-2.20539951145438 Dmel R360
1.50803783435075 Dmel R360
2.80809287883288 Dyak Ta18
2.90173417163597 Dyak Ta18
2.61007016117212 Dyak Ta18
3.63166903802338 Dyak CY07
3.68918999186735 Dyak CY07
3.81030205359246 Dyak CY07
-2.20539951145438 Dsim w501
-2.20539951145438 Dsim w501
-2.20539951145438 Dsim w501
-2.20539951145438 Dsim FA03
-2.20539951145438 Dsim FA03
-2.20539951145438 Dsim FA03
