exp species strains
-0.955337800449269 Dmel R307
-0.563831581256937 Dmel R307
-0.319410345342654 Dmel R307
-1.03971223872721 Dmel R357
-0.548240662834388 Dmel R357
-0.381162438104079 Dmel R357
-0.691248930856722 Dmel R399
-0.190989838816057 Dmel R399
-0.179226512145092 Dmel R399
-0.249815900146957 Dmel R517
0.00429375233819259 Dmel R517
-0.133989513314316 Dmel R517
-0.433690442037182 Dmel R304
-0.599513962960465 Dmel R304
0.0254981427410658 Dmel R304
-0.466391399714079 Dmel R360
-0.232632670945769 Dmel R360
0.791057820743632 Dyak Ta18
1.01425881279543 Dyak Ta18
0.833952831346412 Dyak Ta18
0.729158728529608 Dyak CY07
0.999393397311987 Dyak CY07
1.12171032045373 Dyak CY07
-0.127181643388699 Dsim w501
0.282327559826646 Dsim w501
0.395181328850493 Dsim w501
0.189662804506878 Dsim FA03
0.366864891618443 Dsim FA03
0.359015489977381 Dsim FA03
