exp species strains
0.261379852876173 Dmel R307
0.0282852164057602 Dmel R307
-0.069232976745691 Dmel R307
0.0108141340370509 Dmel R357
0.0477840386120081 Dmel R357
0.650565812681554 Dmel R357
0.290881068091931 Dmel R399
0.6760779181996 Dmel R399
0.0632033358296698 Dmel R399
-0.167210961034921 Dmel R517
0.685129090966502 Dmel R517
0.501007110834394 Dmel R517
0.212649284038318 Dmel R304
0.417960770301656 Dmel R304
0.541270504288089 Dmel R304
0.0289727974191177 Dmel R360
0.22705232583294 Dmel R360
-0.170720036776111 Dyak Ta18
0.222980029771298 Dyak Ta18
0.844410069209358 Dyak Ta18
-0.216528503794698 Dyak CY07
-0.646745496698787 Dyak CY07
-0.41899634070315 Dyak CY07
-0.520587714189782 Dsim w501
-0.523327968654792 Dsim w501
-1.44269424988026 Dsim w501
-0.054697335467194 Dsim FA03
-1.10376918139975 Dsim FA03
-0.375912594050291 Dsim FA03
