exp species strains
-0.737424183907227 Dmel R307
-0.340375742562377 Dmel R307
-0.281466695915811 Dmel R307
-0.70010013785978 Dmel R357
-0.708394120139776 Dmel R357
-0.282694764375626 Dmel R357
-0.0442621098753144 Dmel R399
0.238446396440013 Dmel R399
0.152906677306494 Dmel R399
-0.214348023909556 Dmel R517
-0.00454024508120727 Dmel R517
-0.353842258918327 Dmel R517
-0.204482680255704 Dmel R304
-0.321535676000801 Dmel R304
-0.14649734626111 Dmel R304
-0.529748342242336 Dmel R360
-0.503303337437589 Dmel R360
0.305552997529141 Dyak Ta18
0.266652668129839 Dyak Ta18
0.474946692266827 Dyak Ta18
0.17126587164278 Dyak CY07
0.355876688340785 Dyak CY07
0.489858825666872 Dyak CY07
0.207394042512732 Dsim w501
0.381867057427965 Dsim w501
0.381691155092937 Dsim w501
0.59531200731842 Dsim FA03
0.690034972667607 Dsim FA03
0.661209612400113 Dsim FA03
