exp species strains
-0.748242812070981 Dmel R307
-0.46281565273917 Dmel R307
-0.419919497576535 Dmel R307
-0.925784526322221 Dmel R357
-0.708720784994683 Dmel R357
-0.273900990356029 Dmel R357
-0.641986496602702 Dmel R399
-0.384717725416685 Dmel R399
-0.38596869229118 Dmel R399
-0.479752312149849 Dmel R517
-0.305040175170752 Dmel R517
-0.4683330340494 Dmel R517
-0.0734842876021767 Dmel R304
-0.175587377400853 Dmel R304
-0.08681952982208 Dmel R304
-0.423911942216939 Dmel R360
-0.535163089895141 Dmel R360
0.858404000731803 Dyak Ta18
0.838082155123001 Dyak Ta18
0.646510023266171 Dyak Ta18
1.16889714543878 Dyak CY07
1.10286122143188 Dyak CY07
1.23982918167934 Dyak CY07
0.278369402520222 Dsim w501
0.426901680339742 Dsim w501
0.341548436456847 Dsim w501
0.24170701547243 Dsim FA03
0.210864431555053 Dsim FA03
0.146174232662116 Dsim FA03
