exp species strains
-0.373923924427711 Dmel R307
-1.53932029968354 Dmel R307
-1.53023556511538 Dmel R307
-1.61405819807724 Dmel R357
-1.66379354847448 Dmel R357
-1.15426537994487 Dmel R357
-1.51743550024879 Dmel R399
-1.42894189108497 Dmel R399
-1.54649667643921 Dmel R399
-1.0559838176739 Dmel R517
-1.81762563047687 Dmel R517
-1.15476715857047 Dmel R517
-1.88930582651256 Dmel R304
-1.52622225501773 Dmel R304
-1.48927432925777 Dmel R304
-1.14268507332959 Dmel R360
-1.82770084603554 Dmel R360
2.06303080666443 Dyak Ta18
2.01565455021681 Dyak Ta18
2.02757531029297 Dyak Ta18
1.95515206786427 Dyak CY07
1.93537872985454 Dyak CY07
1.99754107511057 Dyak CY07
2.03519322198694 Dsim w501
2.07571472913603 Dsim w501
2.03571120745792 Dsim w501
2.05042158885235 Dsim FA03
2.07381781847688 Dsim FA03
2.00684481445693 Dsim FA03
