exp species strains
-0.964278881621158 Dmel R307
-0.934202099200921 Dmel R307
-0.89624613979112 Dmel R307
-0.858309252523289 Dmel R357
-0.982342302143201 Dmel R357
-0.769645427155317 Dmel R357
-0.835004962345278 Dmel R399
-0.861998075882009 Dmel R399
-0.880860984282231 Dmel R399
-0.648038070596205 Dmel R517
-0.881017947388924 Dmel R517
-0.620227365995271 Dmel R517
-0.162720205855945 Dmel R304
-0.37980814671072 Dmel R304
-0.26939057450546 Dmel R304
-0.872514597760833 Dmel R360
-0.906943512676969 Dmel R360
1.89837745291415 Dyak Ta18
1.70962956858764 Dyak Ta18
1.86718803312514 Dyak Ta18
1.51541971086535 Dyak CY07
1.51097749569362 Dyak CY07
1.53429275584305 Dyak CY07
0.190276729756697 Dsim w501
0.392659228128001 Dsim w501
0.346607314967997 Dsim w501
0.61136697754177 Dsim FA03
0.592078497342883 Dsim FA03
0.554674781668549 Dsim FA03
