exp species strains
-0.396367188315092 Dmel R307
-0.559756337747025 Dmel R307
-0.514909452143836 Dmel R307
0.289726463178817 Dmel R357
0.138561366901917 Dmel R357
0.119871293721808 Dmel R357
0.0903636668067769 Dmel R399
0.293799952808096 Dmel R399
0.277616927471444 Dmel R399
-0.436783760435126 Dmel R517
-0.437830290659383 Dmel R517
-0.555982124461981 Dmel R517
-0.488142384534892 Dmel R304
-0.691166634898584 Dmel R304
-0.387605504241982 Dmel R304
0.626141899515562 Dmel R360
0.592562629057156 Dmel R360
1.08900122240684 Dyak Ta18
1.41441085220177 Dyak Ta18
0.965292454475471 Dyak Ta18
0.125830825723708 Dyak CY07
0.361278389960333 Dyak CY07
0.250710362317038 Dyak CY07
-0.222907366018774 Dsim w501
0.0148501608012522 Dsim w501
0.0111961811375803 Dsim w501
-0.764924984506891 Dsim FA03
-0.216257552484752 Dsim FA03
-0.988581068037261 Dsim FA03
