exp species strains
0.486232709717105 Dmel R307
0.330952696064191 Dmel R307
0.082688739330365 Dmel R307
0.566668567878059 Dmel R357
0.54401829059712 Dmel R357
0.527295831303716 Dmel R357
0.538561311230933 Dmel R399
0.427828975576667 Dmel R399
0.535773977899963 Dmel R399
0.0127209833194315 Dmel R517
0.512207132155715 Dmel R517
0.112237296512255 Dmel R517
0.914918383115743 Dmel R304
1.10653840894581 Dmel R304
0.922078871143137 Dmel R304
0.281839432791902 Dmel R360
-0.197546489146686 Dmel R360
-0.177034677860678 Dyak Ta18
-0.627218995538145 Dyak Ta18
-0.618760184043363 Dyak Ta18
-0.672881738987342 Dyak CY07
-0.855141356653769 Dyak CY07
-1.16869209634622 Dyak CY07
-0.448459000893539 Dsim w501
-0.583446484993659 Dsim w501
-0.575377799214246 Dsim w501
-0.326200643214489 Dsim FA03
-0.804158471196712 Dsim FA03
-0.847643669493272 Dsim FA03
