exp species strains
-0.872274168721412 Dmel R307
-0.495586778065205 Dmel R307
0.48852809569652 Dmel R307
-1.72012753096153 Dmel R357
-0.23343382590311 Dmel R357
0.0772571671891132 Dmel R357
-0.175400752417811 Dmel R399
0.219740947585694 Dmel R399
0.791772228033314 Dmel R399
0.0943666099436243 Dmel R517
0.346283082685479 Dmel R517
0.354105774378357 Dmel R517
-0.618411652217235 Dmel R304
-0.918597212224306 Dmel R304
0.0120861598441854 Dmel R304
-0.966267929612761 Dmel R360
0.035151562649175 Dmel R360
0.219633329101165 Dyak Ta18
0.261374924459847 Dyak Ta18
0.215873520633944 Dyak Ta18
0.353266470780191 Dyak CY07
0.501585326155093 Dyak CY07
0.592976418372806 Dyak CY07
-0.151558896205437 Dsim w501
0.13197604713823 Dsim w501
0.00309853622111413 Dsim w501
0.493370763365199 Dsim FA03
0.136339735368086 Dsim FA03
0.822872046727677 Dsim FA03
