exp species strains
-0.416841851707227 Dmel R307
-0.287010860906179 Dmel R307
-0.297689499408444 Dmel R307
-0.369850370954303 Dmel R357
-0.177704236885746 Dmel R357
-0.278228901910011 Dmel R357
-0.221121979733241 Dmel R399
-0.246793409153998 Dmel R399
-0.343174012406632 Dmel R399
-0.508484450209565 Dmel R517
-0.555207667821415 Dmel R517
-0.704944916762586 Dmel R517
0.060183524898467 Dmel R304
-0.137026843876427 Dmel R304
-0.351166554970656 Dmel R304
-0.359097188911617 Dmel R360
-0.719556629760899 Dmel R360
0.350038419792156 Dyak Ta18
-0.00884899560762273 Dyak Ta18
0.136217849979723 Dyak Ta18
0.329655952378856 Dyak CY07
0.348474987857314 Dyak CY07
0.408534624192998 Dyak CY07
0.661894941359943 Dsim w501
0.52761663197073 Dsim w501
0.733097986035152 Dsim w501
0.689507634068894 Dsim FA03
1.10669658952508 Dsim FA03
0.630829228927275 Dsim FA03
