exp species strains
-0.303595395166881 Dmel R307
-0.451250381575405 Dmel R307
-0.969393527551687 Dmel R307
0.0658215872717453 Dmel R357
-0.421711761449153 Dmel R357
-0.501683732296641 Dmel R357
-0.258140027898574 Dmel R399
-0.531963826524524 Dmel R399
-0.554635443113351 Dmel R399
-0.416263389969461 Dmel R517
-0.489159090467782 Dmel R517
-0.522760122478441 Dmel R517
-0.137721183280504 Dmel R304
-0.143479798195071 Dmel R304
-0.528012785706966 Dmel R304
-0.279586870234564 Dmel R360
-0.919499008266135 Dmel R360
0.875758546210063 Dyak Ta18
0.47344791529022 Dyak Ta18
0.607621130722619 Dyak Ta18
0.537639490030292 Dyak CY07
0.363155431919176 Dyak CY07
0.143567918723432 Dyak CY07
0.693586371164705 Dsim w501
0.734286829821434 Dsim w501
0.609815846145369 Dsim w501
1.03479114531523 Dsim FA03
0.864484837104331 Dsim FA03
0.424879294456508 Dsim FA03
