exp species strains
-0.155541807948053 Dmel R304
-0.429043319735663 Dmel R304
-0.277720228116632 Dmel R304
-0.553300683309643 Dmel R360
-0.330440897178284 Dmel R360
-0.636961645745047 Dmel R360
-0.448787809309381 Dmel R307
-0.425117248945985 Dmel R307
-0.0732011819417683 Dmel R307
0.233676671183722 Dmel R357
0.440183732450635 Dmel R357
0.214762234402794 Dmel R357
-0.688269881954187 Dmel R399
-0.515646141130641 Dmel R399
-0.637594330296194 Dmel R399
-0.489767758849627 Dmel R517
-0.71142481429182 Dmel R517
0.580435923555754 Dyak Ta18
0.342484253203092 Dyak Ta18
0.511592428116423 Dyak Ta18
0.897279918018564 Dyak CY07
0.957276009286399 Dyak CY07
0.949363331341766 Dyak CY07
0.0229410652643356 Dsim w501
0.404426598965413 Dsim w501
0.156012087224655 Dsim w501
0.548540281405691 Dsim FA03
0.113843214333683 Dsim FA03
