exp species strains
0.461115316383168 Dmel R304
0.534280940102093 Dmel R304
0.694275906626761 Dmel R304
-0.0528351050199789 Dmel R360
-0.0275346835694251 Dmel R360
0.370241853043513 Dmel R360
0.865547531175893 Dmel R307
0.858312721270252 Dmel R307
0.863247481973237 Dmel R307
0.484157382122906 Dmel R357
0.8358956754916 Dmel R357
0.929704758585639 Dmel R357
1.10962324492329 Dmel R399
1.15344702249499 Dmel R399
1.26727767042371 Dmel R399
1.52973542589526 Dmel R517
1.51471335518291 Dmel R517
-1.64306166441411 Dyak Ta18
-2.40226008159076 Dyak Ta18
-1.41074140042128 Dyak Ta18
-1.81507351263689 Dyak CY07
-2.71139322762653 Dyak CY07
-6.09522254561749 Dyak CY07
0.119549039890869 Dsim w501
0.344447344693847 Dsim w501
0.0169586481972156 Dsim w501
1.04341368631081 Dsim FA03
1.16217721610851 Dsim FA03
