exp species strains
1.19203634652714 Dmel R304
1.12150302641789 Dmel R304
1.07298139618269 Dmel R304
0.893667588780845 Dmel R360
0.877396585519063 Dmel R360
0.769516873062956 Dmel R360
-0.81046842909303 Dmel R307
-0.94221461789569 Dmel R307
-0.324441056279533 Dmel R307
0.953361208065933 Dmel R357
0.410237062923944 Dmel R357
0.626087798121342 Dmel R357
0.229538028013364 Dmel R399
0.355039746772951 Dmel R399
0.271111289647612 Dmel R399
0.264493509258553 Dmel R517
0.570968396787553 Dmel R517
0.323861925776494 Dyak Ta18
0.104891804775603 Dyak Ta18
0.307720747267251 Dyak Ta18
0.475608804850497 Dyak CY07
0.283477871777321 Dyak CY07
0.325318227439861 Dyak CY07
-1.28851683413657 Dsim w501
-2.23250379325442 Dsim w501
-1.22366761046924 Dsim w501
-2.29609208710537 Dsim FA03
-2.31091380973501 Dsim FA03
