exp species strains
0.47937353076293 Dmel R304
-0.158505767804554 Dmel R304
0.341609343340292 Dmel R304
-0.480006800981721 Dmel R360
-1.39224966050669 Dmel R360
-0.00902415584477439 Dmel R360
-1.08533235532144 Dmel R307
-1.36737176942953 Dmel R307
-0.403412661586236 Dmel R307
-1.77506743851054 Dmel R357
-0.152593346242547 Dmel R357
-0.504834225670783 Dmel R357
-0.790266531805548 Dmel R399
0.440281550130352 Dmel R399
-0.0597637566919992 Dmel R399
0.599901107417413 Dmel R517
0.578710536357057 Dmel R517
0.289196905217078 Dyak Ta18
0.738619873368083 Dyak Ta18
0.850853101940493 Dyak Ta18
0.0246129087807197 Dyak CY07
0.959703105355038 Dyak CY07
1.12204546793049 Dyak CY07
0.164900827022629 Dsim w501
0.488637632342467 Dsim w501
0.0933302431485838 Dsim w501
0.675040705224581 Dsim FA03
0.331611632058143 Dsim FA03
