exp species strains
0.27310703826147 Dmel R304
0.292620130255267 Dmel R304
0.895518751699492 Dmel R304
0.842201139951435 Dmel R360
0.827753015875638 Dmel R360
0.605770727069633 Dmel R360
0.140901544594702 Dmel R307
0.662062868893658 Dmel R307
-2.62758544545052 Dmel R307
-2.62758544545052 Dmel R357
1.10226535885819 Dmel R357
1.1024528450452 Dmel R357
0.43770076141585 Dmel R399
-2.62758544545052 Dmel R399
-2.62758544545052 Dmel R399
-2.62758544545052 Dmel R517
-0.0559419547464149 Dmel R517
1.74090993130007 Dyak Ta18
0.908141767164381 Dyak Ta18
2.36482052293596 Dyak Ta18
1.22266306067576 Dyak CY07
1.11605792937373 Dyak CY07
-2.62758544545052 Dyak CY07
-2.62758544545052 Dsim w501
0.582414689489858 Dsim w501
-2.62758544545052 Dsim w501
2.90867768658804 Dsim FA03
3.05058574890221 Dsim FA03
