exp species strains
0.122002307443406 Dmel R304
0.0767055453891323 Dmel R304
0.420522647069659 Dmel R304
-0.521813545754375 Dmel R360
-0.635611893661962 Dmel R360
0.165145380464714 Dmel R360
-1.05423356504487 Dmel R307
-1.03995586300457 Dmel R307
-0.447130484347412 Dmel R307
-1.27564575633928 Dmel R357
-0.112887385334478 Dmel R357
-0.194296572826249 Dmel R357
-0.80060550309002 Dmel R399
-0.00581217934202261 Dmel R399
0.0174817003137582 Dmel R399
0.0301591194045596 Dmel R517
0.280049239489741 Dmel R517
-0.308791980316925 Dyak Ta18
-0.0177960869338675 Dyak Ta18
0.172306821976816 Dyak Ta18
0.00503519525673055 Dyak CY07
0.893829895694273 Dyak CY07
0.958379130983753 Dyak CY07
0.564945399861189 Dsim w501
0.692986539401781 Dsim w501
0.52672986962552 Dsim w501
0.890070389922032 Dsim FA03
0.598231633698969 Dsim FA03
