exp species strains
0.0798683219330869 Dmel R304
-0.129319400375972 Dmel R304
0.0975224804833757 Dmel R304
-0.423274269586135 Dmel R360
-0.375856336711999 Dmel R360
-0.36044154779543 Dmel R360
-0.184911312766964 Dmel R307
-0.56539665170734 Dmel R307
-0.1177837071319 Dmel R307
-0.753560830804633 Dmel R357
-0.247329198578638 Dmel R357
-0.485491618169251 Dmel R357
-0.427295867052878 Dmel R399
-0.387394404631551 Dmel R399
-0.147713685012114 Dmel R399
-0.336912596303403 Dmel R517
-0.140599785080501 Dmel R517
0.970030252679746 Dyak Ta18
0.922947447734124 Dyak Ta18
0.990944277866635 Dyak Ta18
0.783361868004277 Dyak CY07
0.829871182094887 Dyak CY07
0.716590740499356 Dyak CY07
-0.36344374819398 Dsim w501
-0.0929086021933213 Dsim w501
-0.0440154640813594 Dsim w501
0.179248121222268 Dsim FA03
0.0132643336596247 Dsim FA03
