exp species strains
0.488952463416479 Dmel R304
0.312714687300067 Dmel R304
0.404206571282896 Dmel R304
0.552474422046454 Dmel R360
0.595534175854368 Dmel R360
0.876054300056618 Dmel R360
0.270733740159714 Dmel R307
0.518392243228258 Dmel R307
0.632539476000642 Dmel R307
0.0913147018486334 Dmel R357
0.3694445848647 Dmel R357
0.410526701854738 Dmel R357
0.122807024130375 Dmel R399
-0.145085640789361 Dmel R399
-0.0525182496632069 Dmel R399
0.38058115374265 Dmel R517
0.4628450295715 Dmel R517
-0.301906263435092 Dyak Ta18
-0.176918518773956 Dyak Ta18
-0.0355003415218584 Dyak Ta18
0.33367397182144 Dyak CY07
0.510211264103569 Dyak CY07
0.135570227226878 Dyak CY07
-1.06362720674844 Dsim w501
-0.739896364858564 Dsim w501
-1.06322576992284 Dsim w501
-1.85707926619199 Dsim FA03
-2.03281911660468 Dsim FA03
