exp species strains
-0.76856319635154 Dmel R304
0.0720749195027098 Dmel R304
-0.598951918807747 Dmel R304
0.0324128295606285 Dmel R360
0.0428834427041411 Dmel R360
0.128882089332384 Dmel R360
0.0522931854929385 Dmel R307
0.181500673254263 Dmel R307
0.0028209931401822 Dmel R307
-0.0131934659100007 Dmel R357
0.00345862846778638 Dmel R357
0.0907806040168093 Dmel R357
-0.310936146678917 Dmel R399
-0.521699464356149 Dmel R399
-0.764793956084606 Dmel R399
-0.534877976080663 Dmel R517
-0.439780494125597 Dmel R517
-0.101945848867124 Dyak Ta18
-0.244789400473441 Dyak Ta18
-0.12845391274157 Dyak Ta18
0.867555979091165 Dyak CY07
0.353532192934409 Dyak CY07
-0.0367551624973288 Dyak CY07
0.76865928876529 Dsim w501
0.611702901849215 Dsim w501
0.495286589042401 Dsim w501
0.426554779479067 Dsim FA03
0.33434184634129 Dsim FA03
