exp species strains
-0.291331912453683 Dmel R304
-0.238120837472518 Dmel R304
-0.553812983828997 Dmel R304
0.810740907714765 Dmel R360
0.955827763616248 Dmel R360
0.593550383856032 Dmel R360
0.0420910952486748 Dmel R307
-0.167981685875781 Dmel R307
0.0980574319832446 Dmel R307
0.0683220740940138 Dmel R357
-0.356672169987539 Dmel R357
-0.132874534099959 Dmel R357
-0.164473732184562 Dmel R399
-0.457371967745967 Dmel R399
-0.255510868862341 Dmel R399
-0.481765148693067 Dmel R517
-0.241971839526153 Dmel R517
0.231718479463211 Dyak Ta18
0.0865244197990015 Dyak Ta18
0.247506117577426 Dyak Ta18
1.13939819997935 Dyak CY07
0.605955847803975 Dyak CY07
0.443725979463961 Dyak CY07
0.140926814032572 Dsim w501
-0.246656743153902 Dsim w501
-0.467744811963722 Dsim w501
-1.08312621346189 Dsim FA03
-0.324930065322415 Dsim FA03
