exp species strains
-0.874961451025646 Dmel R304
-1.06294314411186 Dmel R304
-0.572259821209414 Dmel R304
-0.458359101574523 Dmel R360
-0.246915731349794 Dmel R360
-0.616090491408791 Dmel R360
-0.0946278248277278 Dmel R307
-0.152541373959789 Dmel R307
0.118188596152956 Dmel R307
-0.0704017056899044 Dmel R357
-0.0859117690805637 Dmel R357
-0.405929763221547 Dmel R357
0.1135733828581 Dmel R399
-0.271688864539247 Dmel R399
-0.216187037850853 Dmel R399
-0.364986949683903 Dmel R517
-0.86914884821293 Dmel R517
1.31172501549661 Dyak Ta18
1.13099555234778 Dyak Ta18
1.14105195895865 Dyak Ta18
0.475534445120699 Dyak CY07
0.648184044715817 Dyak CY07
1.11490191860527 Dyak CY07
0.115566246407641 Dsim w501
0.0709143485182772 Dsim w501
0.0883701246822487 Dsim w501
0.238475152780059 Dsim FA03
-0.204526908897613 Dsim FA03
