exp species strains
-0.501747917627703 Dmel R304
-0.265010210963556 Dmel R304
-0.29480797847681 Dmel R304
-0.734832732923323 Dmel R360
-0.647096294787039 Dmel R360
-0.605263488297701 Dmel R360
-0.306675175091945 Dmel R307
-0.47771534273561 Dmel R307
-0.344332792355004 Dmel R307
-0.451174733075286 Dmel R357
-0.0264737591185982 Dmel R357
-0.0764437202950703 Dmel R357
-0.188490921153753 Dmel R399
-0.0783150830282846 Dmel R399
-0.214190181059317 Dmel R399
-0.315087261759476 Dmel R517
-0.318133075117206 Dmel R517
1.86565855955573 Dyak Ta18
1.17999681316955 Dyak Ta18
1.14142993210732 Dyak Ta18
-0.00331555619060598 Dyak CY07
0.388940955669255 Dyak CY07
0.266160884609389 Dyak CY07
0.368638649779645 Dsim w501
0.452685427370744 Dsim w501
0.361306099218454 Dsim w501
-0.149332441872994 Dsim FA03
-0.0263786555507889 Dsim FA03
