exp species strains
-0.503870459164898 Dmel R304
-0.189676794255821 Dmel R304
-0.209372511553199 Dmel R304
-0.140760851890345 Dmel R360
0.0313599490148097 Dmel R360
0.0699102687530333 Dmel R360
-0.344123982340548 Dmel R307
-0.206399344135693 Dmel R307
-0.145501037157571 Dmel R307
-2.37524884534359 Dmel R357
-1.99370333105975 Dmel R357
-1.70214510731146 Dmel R357
-0.0053280356406941 Dmel R399
0.0558117603963366 Dmel R399
0.0890155664170899 Dmel R399
0.422566646879494 Dmel R517
0.45269866890233 Dmel R517
0.63373400152094 Dyak Ta18
0.797103059530163 Dyak Ta18
0.765785800206066 Dyak Ta18
0.879394378409809 Dyak CY07
0.830834095567823 Dyak CY07
0.830813469315803 Dyak CY07
0.106337240461295 Dsim w501
0.341446992032138 Dsim w501
0.403348268390867 Dsim w501
0.513662034843173 Dsim FA03
0.592308099212406 Dsim FA03
